Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Delta_Steer,Desired_Delta_Steer,Test_Number
0.027,0.023,10.00,3.86,0.00,100.00,inf,0.00,0.00,1
0.046,0.042,10.00,3.93,100.00,100.00,inf,0.00,0.00,1
0.065,0.061,10.00,3.93,100.00,100.00,inf,0.00,0.00,1
0.085,0.081,10.00,3.93,100.00,100.00,inf,0.00,0.00,1
0.105,0.101,10.00,3.93,0.00,0.00,inf,0.00,0.00,1
0.126,0.122,10.00,4.01,0.00,0.00,inf,0.00,0.00,1
0.146,0.142,10.00,4.07,0.00,0.00,inf,0.00,0.00,1
0.165,0.161,10.00,4.14,0.00,0.00,inf,0.00,0.00,1
0.186,0.182,10.00,4.14,100.00,100.00,inf,0.00,0.00,1
0.205,0.201,10.00,4.21,0.00,100.00,inf,0.00,0.00,1
0.225,0.221,10.00,4.28,0.00,0.00,inf,0.00,0.00,1
0.245,0.241,10.00,4.36,0.00,0.00,inf,0.00,0.00,1
0.265,0.261,10.00,4.36,0.00,0.00,inf,0.00,0.00,1
0.285,0.281,10.00,4.42,100.00,0.00,inf,0.00,0.00,1
0.306,0.302,10.00,4.49,100.00,0.00,inf,0.00,0.00,1
0.325,0.321,10.00,4.57,0.00,0.00,inf,0.00,0.00,1
0.346,0.341,10.00,4.57,0.00,0.00,inf,0.00,0.00,1
0.365,0.361,10.00,4.63,0.00,0.00,inf,0.00,0.00,1
0.385,0.381,10.00,4.63,9.17,0.00,inf,0.00,0.00,1
0.405,0.401,10.00,4.63,100.00,0.00,inf,0.00,0.00,1
0.425,0.421,10.00,4.77,0.00,0.00,inf,0.00,0.00,1
0.446,0.442,10.00,4.77,0.00,0.00,inf,0.00,0.00,1
0.466,0.461,10.00,4.84,0.00,0.00,inf,0.00,0.00,1
0.485,0.481,10.00,4.92,100.00,0.00,inf,0.00,0.00,1
0.505,0.501,10.00,4.98,0.00,100.00,inf,0.00,0.00,1
0.526,0.522,10.00,4.92,0.00,0.00,inf,0.00,0.00,1
0.545,0.541,10.00,4.98,0.00,100.00,inf,0.00,0.00,1
0.568,0.564,10.00,5.05,100.00,100.00,inf,0.00,0.00,1
0.589,0.585,10.00,5.13,100.00,100.00,inf,0.00,0.00,1
0.608,0.604,10.00,5.19,0.00,100.00,inf,0.00,0.00,1
0.627,0.623,10.00,5.19,100.00,0.00,inf,0.00,0.00,1
0.646,0.642,10.00,5.19,100.00,0.00,inf,0.00,0.00,1
0.665,0.661,10.00,5.32,100.00,0.00,inf,0.00,0.00,1
0.686,0.682,10.00,5.32,0.00,100.00,inf,0.00,0.00,1
0.705,0.701,10.00,5.26,0.00,100.00,inf,0.00,0.00,1
0.725,0.721,10.00,5.40,0.00,100.00,inf,0.00,0.00,1
0.747,0.743,10.00,5.40,100.00,100.00,inf,0.00,0.00,1
0.766,0.762,10.00,5.32,100.00,100.00,inf,0.00,0.00,1
0.785,0.781,10.00,5.40,100.00,100.00,inf,0.00,0.00,1
0.806,0.802,10.00,5.47,100.00,100.00,inf,0.00,0.00,1
0.826,0.821,10.00,5.32,100.00,0.00,inf,0.00,0.00,1
0.845,0.841,10.00,5.53,100.00,100.00,inf,0.00,0.00,1
0.866,0.862,10.00,5.53,100.00,0.00,inf,0.00,0.00,1
0.885,0.881,10.00,5.53,100.00,100.00,inf,0.00,0.00,1
0.905,0.901,10.00,5.53,100.00,100.00,inf,0.00,0.00,1
0.925,0.921,10.00,5.53,100.00,100.00,inf,0.00,0.00,1
0.945,0.941,10.00,5.61,0.00,100.00,inf,0.00,0.00,1
0.966,0.962,10.00,5.61,100.00,100.00,inf,0.00,0.00,1
0.985,0.981,10.00,5.61,100.00,100.00,inf,0.00,0.00,1
1.005,1.001,10.00,5.68,100.00,100.00,inf,0.00,0.00,1
1.026,1.022,10.00,5.53,0.00,100.00,inf,0.00,0.00,1
1.046,1.042,10.00,5.53,100.00,100.00,inf,0.00,0.00,1
1.065,1.061,10.00,5.74,0.00,100.00,inf,0.00,0.00,1
1.085,1.081,10.00,5.68,100.00,100.00,inf,0.00,0.00,1
1.106,1.102,10.00,5.68,100.00,0.00,inf,0.00,0.00,1
1.125,1.121,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.145,1.141,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.165,1.161,10.00,5.74,100.00,0.00,inf,0.00,0.00,1
1.185,1.181,10.00,5.82,0.00,100.00,inf,0.00,0.00,1
1.206,1.202,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.225,1.221,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.245,1.241,10.00,5.82,100.00,0.00,inf,0.00,0.00,1
1.266,1.262,10.00,5.74,0.00,100.00,inf,0.00,0.00,1
1.285,1.281,10.00,5.74,0.00,0.00,inf,0.00,0.00,1
1.305,1.301,10.00,5.82,100.00,100.00,inf,0.00,0.00,1
1.326,1.321,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.345,1.341,10.00,5.68,0.00,100.00,inf,0.00,0.00,1
1.365,1.361,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.388,1.384,10.00,5.82,100.00,100.00,inf,0.00,0.00,1
1.406,1.402,10.00,5.74,100.00,100.00,inf,0.00,0.00,1
1.425,1.421,10.00,5.82,100.00,100.00,inf,0.00,0.00,1
