Time (ms),Throttle Out1 (V),Throttle Out2 (V),Mode,Throttle Raw Value,Throttle Filtered Value,Pedal Percentage (%),Brake Raw Distance (mm),Brake Filtered Distance (mm),Brake Percentage (%),Steer Voltage1 (V),Steer Voltage2 (V),Steering Angle (deg),Speed (KPH)
200375.0,1.04,0.52,Manual,154.0,153.64,3.0,114.0,113.69,0.0,2.54,2.4,345.4,13.23925692
200441.0,1.04,0.52,Manual,153.0,153.75,3.0,114.0,113.69,0.0,2.54,2.4,344.7,13.23925692
200508.0,1.04,0.52,Manual,156.0,153.85,3.0,114.0,113.69,0.0,2.53,2.41,344.7,13.23925692
200640.0,1.04,0.52,Manual,155.0,154.04,3.0,114.0,113.69,0.0,2.53,2.42,344.5,13.23925692
200709.0,1.03,0.51,Manual,151.0,154.17,3.0,114.0,113.69,0.0,2.51,2.43,343.4,13.18176022
200776.0,1.04,0.52,Manual,156.0,154.14,3.0,114.0,113.69,0.0,2.5,2.44,342.7,13.18176022
200843.0,1.04,0.52,Manual,154.0,154.14,3.0,114.0,113.69,0.0,2.5,2.44,344.1,13.18176022
200975.0,1.04,0.52,Manual,154.0,154.18,3.0,114.0,113.69,0.0,2.49,2.45,347.1,13.18176022
201043.0,1.04,0.52,Manual,153.0,154.15,3.0,114.0,113.69,0.0,2.49,2.45,350.1,13.18176022
201110.0,1.05,0.52,Manual,157.0,154.14,3.0,114.0,113.69,0.0,2.49,2.45,352.7,13.18176022
201177.0,1.05,0.52,Manual,158.0,154.39,3.0,114.0,113.69,0.0,2.49,2.45,355.2,13.18176022
201310.0,1.04,0.52,Manual,154.0,154.82,3.0,114.0,113.69,0.0,2.49,2.45,356.6,13.18176022
201382.0,1.05,0.52,Manual,157.0,155.17,4.0,114.0,113.69,0.0,2.49,2.45,356.1,13.18176022
201448.0,1.05,0.53,Manual,159.0,155.56,4.0,114.0,113.69,0.0,2.49,2.45,354.6,13.18176022
201515.0,1.04,0.52,Manual,154.0,155.99,4.0,114.0,113.69,0.0,2.49,2.46,353.4,13.18176022
201647.0,1.04,0.52,Manual,154.0,156.15,4.0,114.0,113.69,0.0,2.48,2.46,352.4,13.18176022
201723.0,1.04,0.52,Manual,153.0,155.95,4.0,114.0,113.69,0.0,2.48,2.46,350.9,13.18176022
201790.0,1.04,0.52,Manual,155.0,155.58,4.0,114.0,113.69,0.0,2.48,2.46,349.1,13.18176022
201856.0,1.05,0.52,Manual,157.0,155.29,4.0,114.0,113.69,0.0,2.48,2.46,347.7,13.18176022
201923.0,1.04,0.52,Manual,156.0,155.24,4.0,114.0,113.69,0.0,2.48,2.46,347.1,13.18176022
202056.0,1.04,0.52,Manual,155.0,155.31,4.0,114.0,113.69,0.0,2.47,2.47,347.1,13.18176022
202124.0,1.04,0.52,Manual,154.0,155.3,4.0,114.0,113.69,0.0,2.46,2.48,347.0,13.18176022
202191.0,1.04,0.52,Manual,155.0,155.21,4.0,114.0,113.69,0.0,2.45,2.49,347.7,13.18176022
202258.0,1.05,0.52,Manual,157.0,155.16,4.0,114.0,113.69,0.0,2.45,2.5,349.5,13.18176022
217481.0,1.03,0.52,Manual,152.0,152.75,3.0,114.0,113.69,0.0,2.48,2.46,372.1,13.18176022
217613.0,1.03,0.52,Manual,152.0,152.58,3.0,114.0,113.69,0.0,2.49,2.45,374.9,13.18176022
217689.0,1.05,0.52,Manual,157.0,152.57,3.0,114.0,113.69,0.0,2.49,2.45,377.1,13.18176022
217756.0,1.03,0.52,Manual,152.0,152.79,3.0,114.0,113.69,0.0,2.49,2.45,378.4,13.18176022
217822.0,1.04,0.52,Manual,154.0,153.03,3.0,114.0,113.69,0.0,2.49,2.45,378.4,13.18176022
217889.0,1.04,0.52,Manual,153.0,153.19,3.0,114.0,113.69,0.0,2.49,2.45,378.1,13.18176022
218022.0,1.03,0.52,Manual,152.0,153.27,3.0,114.0,113.69,0.0,2.49,2.45,378.2,13.18176022
218090.0,1.05,0.52,Manual,158.0,153.36,3.0,114.0,113.69,0.0,2.49,2.45,377.4,13.18176022
218157.0,1.04,0.52,Manual,154.0,153.68,3.0,114.0,113.69,0.0,2.49,2.45,375.5,13.18176022
218224.0,1.03,0.52,Manual,152.0,153.95,3.0,114.0,113.69,0.0,2.49,2.45,373.3,13.18176022
218356.0,1.05,0.52,Manual,157.0,154.09,3.0,114.0,113.69,0.0,2.49,2.45,371.3,13.18176022
