Time (ms),Distance (mm),Brake Position (%)
62367.0,68.62,73.2
62474.0,68.57,73.27
62581.0,68.61,73.21
62688.0,68.57,73.28
62795.0,68.49,73.4
62902.0,68.45,73.47
63009.0,68.49,73.4
63116.0,68.48,73.42
63223.0,68.46,73.44
63330.0,68.42,73.51
63437.0,68.41,73.53
63544.0,68.31,73.69
63651.0,68.27,73.75
63758.0,68.26,73.77
63865.0,68.26,73.78
63972.0,68.22,73.84
64079.0,68.27,73.76
64186.0,68.29,73.72
64293.0,68.26,73.78
64400.0,68.31,73.7
64507.0,68.24,73.81
64614.0,68.17,73.91
64721.0,68.23,73.83
64828.0,68.22,73.84
64935.0,68.24,73.8
65042.0,68.21,73.86
65149.0,68.29,73.73
65256.0,68.31,73.7
65363.0,68.33,73.66
65470.0,68.23,73.82
65577.0,68.2,73.88
65684.0,68.19,73.89
65791.0,68.13,73.99
65898.0,68.18,73.9
66005.0,68.29,73.72
66112.0,68.4,73.55
66219.0,68.39,73.57
66326.0,68.35,73.63
66433.0,68.31,73.7
66540.0,68.39,73.57
66647.0,68.38,73.59
66754.0,68.34,73.65
66861.0,68.38,73.57
66968.0,68.34,73.64
67075.0,68.33,73.65
67182.0,68.27,73.76
67289.0,68.2,73.87
67396.0,68.31,73.69
67503.0,68.24,73.8
67610.0,68.29,73.72
67717.0,68.23,73.83
67824.0,68.22,73.84
67931.0,68.27,73.75
68038.0,68.27,73.77
68145.0,68.32,73.68
68252.0,68.34,73.65
68359.0,68.33,73.67
68466.0,68.37,73.59
68573.0,68.33,73.65
68680.0,68.35,73.62
68787.0,68.37,73.59
68894.0,68.33,73.66
69001.0,68.32,73.67
69108.0,68.37,73.59
69215.0,68.39,73.56
69322.0,68.44,73.49
69429.0,68.42,73.51
69536.0,68.35,73.62
69643.0,68.4,73.55
96714.0,67.61,74.83
96821.0,67.56,74.9
96928.0,67.51,74.98
97035.0,67.5,75.0
97142.0,67.51,74.98
97249.0,67.47,75.05
97356.0,67.37,75.21
97463.0,67.39,75.18
97570.0,67.41,75.15
97677.0,67.42,75.12
97784.0,67.41,75.14
97891.0,67.4,75.16
97998.0,67.33,75.28
98105.0,67.29,75.34
98212.0,67.22,75.45
98319.0,67.25,75.41
98426.0,67.18,75.52
98533.0,67.12,75.62
98640.0,67.11,75.62
98747.0,67.05,75.72
98854.0,67.11,75.63
98961.0,67.02,75.78
99068.0,67.02,75.78
99175.0,66.93,75.92
99282.0,66.99,75.82
99389.0,66.9,75.96
99496.0,66.91,75.96
99603.0,66.97,75.86
99710.0,67.08,75.67
99817.0,67.14,75.58
99924.0,67.14,75.59
100031.0,67.13,75.59
100138.0,67.13,75.6
100245.0,67.18,75.51
100352.0,67.26,75.38
100459.0,67.29,75.34
100566.0,67.37,75.22
100673.0,67.41,75.14
100780.0,67.37,75.21
100887.0,67.42,75.13
100994.0,67.35,75.24
101101.0,67.34,75.26
101208.0,67.27,75.37
101315.0,67.2,75.48
101422.0,67.2,75.49
101529.0,67.16,75.54
101636.0,67.19,75.5
101743.0,67.24,75.42
101850.0,67.29,75.34
101957.0,67.34,75.26
102064.0,67.33,75.27
102171.0,67.38,75.19
102278.0,67.34,75.26
102385.0,67.39,75.18
102492.0,67.41,75.15
102599.0,67.42,75.12
102706.0,67.38,75.19
102813.0,67.46,75.07
102920.0,67.5,74.99
103027.0,67.52,74.97
103134.0,67.42,75.14
103241.0,67.37,75.2
103348.0,67.39,75.17
103455.0,67.41,75.15
103562.0,67.46,75.07
103669.0,67.47,75.05
103776.0,67.43,75.11
103883.0,67.56,74.9
103990.0,67.55,74.93
104097.0,67.59,74.86
104204.0,67.63,74.79
104311.0,67.7,74.68
104418.0,67.71,74.67
104525.0,67.72,74.65
104632.0,67.72,74.64
104739.0,67.73,74.63
104846.0,67.74,74.61
104953.0,67.78,74.55
105060.0,67.72,74.64
105167.0,67.65,74.77
105274.0,67.66,74.75
105381.0,67.64,74.78
105488.0,67.59,74.86
