Time (ms),Distance (mm),Brake Position (%)
4587.0,48.43,100.0
4694.0,48.97,100.0
4801.0,49.5,100.0
4908.0,50.09,100.0
5015.0,50.67,100.0
5122.0,51.24,100.0
5229.0,51.75,100.0
5336.0,52.23,99.64
5443.0,52.71,98.85
5550.0,53.16,98.13
5657.0,53.53,97.53
5764.0,53.93,96.89
5871.0,54.37,96.19
5978.0,54.82,95.45
6085.0,55.23,94.78
6192.0,55.63,94.14
6299.0,56.05,93.46
6406.0,56.4,92.9
6513.0,56.71,92.4
6620.0,57.07,91.83
6727.0,57.39,91.31
6834.0,57.7,90.81
6941.0,58.05,90.24
7048.0,58.37,89.72
7155.0,58.68,89.22
7262.0,59.04,88.64
7369.0,59.3,88.22
7476.0,59.58,87.77
7583.0,59.86,87.33
7690.0,60.12,86.9
7797.0,60.32,86.57
7904.0,60.58,86.17
8011.0,60.79,85.82
8118.0,61.03,85.43
8225.0,61.26,85.06
8332.0,61.52,84.65
8439.0,61.71,84.34
8546.0,61.95,83.95
8653.0,62.1,83.72
8760.0,62.24,83.48
8867.0,62.49,83.07
8974.0,62.63,82.86
9081.0,62.78,82.61
9188.0,62.93,82.36
9295.0,63.17,81.99
9402.0,63.28,81.81
9509.0,63.39,81.63
9616.0,63.49,81.46
9723.0,63.71,81.11
9830.0,63.9,80.81
9937.0,64.1,80.48
10044.0,64.19,80.34
10151.0,64.27,80.21
10258.0,64.32,80.13
10365.0,64.43,79.96
10472.0,64.47,79.88
10579.0,64.58,79.72
10686.0,64.7,79.51
10793.0,64.86,79.26
10900.0,64.95,79.11
11007.0,65.01,79.02
11114.0,65.21,78.69
11221.0,65.35,78.46
11328.0,65.4,78.39
11435.0,65.39,78.4
11542.0,65.49,78.24
11649.0,65.6,78.07
11756.0,65.64,78.0
11863.0,65.79,77.75
11970.0,65.92,77.55
12077.0,66.01,77.41
12184.0,66.09,77.27
12291.0,66.12,77.23
12398.0,66.23,77.04
12505.0,66.28,76.96
12612.0,66.3,76.93
12719.0,66.32,76.9
12826.0,66.37,76.82
12933.0,66.42,76.74
13040.0,66.5,76.62
13147.0,66.6,76.45
13254.0,66.7,76.29
13361.0,66.76,76.19
13468.0,66.83,76.08
13575.0,66.95,75.89
13682.0,66.92,75.93
13789.0,66.98,75.83
13896.0,66.98,75.83
14003.0,66.9,75.97
14110.0,66.84,76.06
14217.0,66.82,76.1
14324.0,66.74,76.23
14431.0,66.8,76.13
14538.0,66.84,76.07
14645.0,66.87,76.02
14752.0,66.87,76.01
14859.0,66.88,76.0
14966.0,66.82,76.09
15073.0,66.94,75.9
15180.0,67.0,75.8
15287.0,67.06,75.71
15394.0,67.06,75.71
15501.0,67.09,75.66
15608.0,67.14,75.57
15715.0,67.17,75.53
15822.0,67.25,75.4
15929.0,67.24,75.41
16036.0,67.18,75.52
16143.0,67.14,75.57
16250.0,67.14,75.58
16357.0,67.14,75.59
16464.0,67.13,75.59
16571.0,67.07,75.69
16678.0,67.18,75.51
16785.0,67.27,75.38
16892.0,67.23,75.44
16999.0,67.22,75.45
17106.0,67.19,75.5
17213.0,67.15,75.56
17320.0,67.15,75.57
17427.0,67.17,75.53
17534.0,67.11,75.63
17641.0,67.05,75.73
17748.0,67.05,75.73
17855.0,66.99,75.83
17962.0,66.93,75.92
18069.0,66.96,75.87
18176.0,66.96,75.87
18283.0,66.99,75.82
18390.0,66.99,75.82
18497.0,67.05,75.72
18604.0,67.02,75.77
18711.0,67.02,75.78
18818.0,67.02,75.78
18925.0,66.93,75.92
19032.0,66.87,76.01
19139.0,66.99,75.81
19246.0,66.94,75.91
19353.0,66.91,75.95
19460.0,66.88,76.0
19567.0,66.89,75.99
19674.0,66.83,76.08
19781.0,66.81,76.12
19888.0,66.81,76.11
19995.0,66.85,76.05
20102.0,66.76,76.19
20209.0,66.71,76.27
20316.0,66.78,76.16
20423.0,66.79,76.15
20530.0,66.85,76.05
20637.0,66.8,76.13
20744.0,66.74,76.22
20851.0,66.72,76.25
20958.0,66.7,76.29
21065.0,66.74,76.23
21172.0,66.75,76.21
21279.0,66.7,76.3
21386.0,66.68,76.33
21493.0,66.66,76.36
21600.0,66.67,76.34
21707.0,66.59,76.47
21814.0,66.54,76.54
21921.0,66.56,76.52
22028.0,66.51,76.6
22135.0,66.52,76.57
22242.0,66.51,76.6
22349.0,66.55,76.53
22456.0,66.54,76.55
22563.0,66.64,76.39
22670.0,66.62,76.42
22777.0,66.57,76.5
22884.0,66.61,76.43
22991.0,66.57,76.51
23098.0,66.52,76.58
23205.0,66.53,76.56
23312.0,66.55,76.54
23419.0,66.53,76.56
23526.0,66.6,76.44
23633.0,66.53,76.57
23740.0,66.45,76.69
23847.0,66.47,76.66
23954.0,66.43,76.73
24061.0,66.47,76.66
24168.0,66.43,76.72
24275.0,66.48,76.65
24382.0,66.49,76.63
24489.0,66.51,76.6
24596.0,66.49,76.63
24703.0,66.48,76.65
24810.0,66.49,76.62
24917.0,66.59,76.46
25024.0,66.55,76.54
25131.0,66.56,76.51
25238.0,66.6,76.45
25345.0,66.61,76.43
25452.0,66.66,76.36
25559.0,66.64,76.39
25666.0,66.65,76.38
25773.0,66.63,76.41
25880.0,66.55,76.53
25987.0,66.48,76.65
26094.0,66.43,76.72
26201.0,66.48,76.65
26308.0,66.47,76.67
26415.0,66.45,76.69
26522.0,66.53,76.57
26629.0,66.6,76.45
26736.0,66.58,76.48
26843.0,66.53,76.56
26950.0,66.49,76.63
27057.0,66.48,76.65
27164.0,66.46,76.67
27271.0,66.54,76.55
27378.0,66.49,76.63
27485.0,66.56,76.51
27592.0,66.64,76.39
27699.0,66.65,76.38
27806.0,66.69,76.31
27913.0,66.69,76.3
28020.0,66.67,76.33
28127.0,66.65,76.36
28234.0,66.64,76.39
28341.0,66.62,76.42
28448.0,66.54,76.55
28555.0,66.53,76.57
28662.0,66.48,76.64
28769.0,66.47,76.67
28876.0,66.39,76.78
28983.0,66.33,76.9
29090.0,66.32,76.91
29197.0,66.31,76.93
29304.0,66.38,76.8
29411.0,66.32,76.91
29518.0,66.28,76.97
29625.0,66.15,77.17
29732.0,66.18,77.13
29839.0,66.06,77.33
29946.0,65.97,77.47
30053.0,65.97,77.47
30160.0,65.94,77.52
30267.0,65.91,77.56
30374.0,65.83,77.7
30481.0,65.77,77.78
30588.0,65.69,77.91
30695.0,65.64,77.99
30802.0,65.68,77.93
30909.0,65.63,78.01
31016.0,65.56,78.13
31123.0,65.63,78.02
31230.0,65.67,77.95
31337.0,65.65,77.99
31444.0,65.66,77.97
31551.0,65.64,78.0
31658.0,65.56,78.12
31765.0,65.58,78.1
31872.0,65.53,78.18
31979.0,65.57,78.11
32086.0,65.47,78.28
32193.0,65.37,78.44
32300.0,65.27,78.6
32407.0,65.2,78.7
32514.0,65.11,78.85
32621.0,65.05,78.95
32728.0,65.05,78.96
32835.0,65.13,78.82
32942.0,65.07,78.92
33049.0,65.16,78.78
33156.0,65.18,78.74
33263.0,65.26,78.61
33370.0,65.26,78.62
33477.0,65.19,78.73
33584.0,65.18,78.73
33691.0,65.15,78.79
33798.0,65.15,78.8
33905.0,65.2,78.71
34012.0,65.19,78.72
34119.0,65.19,78.73
34226.0,65.18,78.74
34333.0,65.21,78.7
34440.0,65.23,78.66
34547.0,65.19,78.72
34654.0,65.22,78.68
34761.0,65.3,78.55
34868.0,65.29,78.57
34975.0,65.19,78.72
35082.0,65.19,78.73
35189.0,65.18,78.74
35296.0,65.18,78.75
35403.0,65.08,78.9
35510.0,65.05,78.95
35617.0,65.05,78.95
35724.0,64.93,79.14
35831.0,64.88,79.23
35938.0,64.82,79.32
36045.0,64.77,79.4
36152.0,64.75,79.44
36259.0,64.87,79.24
36366.0,64.9,79.19
36473.0,64.94,79.14
36580.0,64.88,79.23
36687.0,64.88,79.22
36794.0,64.92,79.17
36901.0,64.98,79.07
37008.0,65.06,78.93
37115.0,65.18,78.74
37222.0,65.2,78.71
37329.0,65.2,78.71
37436.0,65.25,78.63
37543.0,65.3,78.55
37650.0,65.35,78.47
37757.0,65.43,78.34
37864.0,65.47,78.27
37971.0,65.6,78.06
38078.0,65.7,77.9
38185.0,65.77,77.79
38292.0,65.78,77.78
38399.0,65.7,77.91
38506.0,65.85,77.66
38613.0,65.94,77.51
38720.0,65.92,77.56
38827.0,65.86,77.65
38934.0,65.89,77.59
39041.0,65.92,77.54
39148.0,66.01,77.4
39255.0,66.19,77.12
39362.0,66.24,77.03
39469.0,66.32,76.9
39576.0,66.37,76.82
39683.0,66.36,76.84
39790.0,66.38,76.81
39897.0,66.4,76.78
40004.0,66.41,76.75
40111.0,66.58,76.49
40218.0,66.65,76.38
40325.0,66.66,76.36
40432.0,66.73,76.25
40539.0,66.73,76.24
40646.0,66.77,76.18
40753.0,66.81,76.12
40860.0,66.84,76.06
40967.0,66.88,76.01
41074.0,66.79,76.14
41181.0,66.77,76.18
41288.0,66.75,76.22
41395.0,66.78,76.16
41502.0,66.85,76.05
41609.0,66.91,75.95
41716.0,66.91,75.95
41823.0,66.94,75.9
41930.0,67.06,75.71
42037.0,67.06,75.71
42144.0,66.97,75.85
42251.0,66.97,75.85
42358.0,66.91,75.94
42465.0,66.92,75.94
42572.0,66.95,75.89
42679.0,66.98,75.84
42786.0,66.98,75.84
42893.0,66.98,75.84
43000.0,66.92,75.93
43107.0,66.95,75.88
43214.0,66.98,75.83
43321.0,67.01,75.78
43428.0,66.98,75.83
43535.0,66.96,75.88
43642.0,66.96,75.88
43749.0,67.08,75.69
43856.0,67.13,75.59
43963.0,67.19,75.51
44070.0,67.21,75.47
44177.0,67.23,75.43
44284.0,67.25,75.4
44391.0,67.22,75.45
44498.0,67.18,75.51
44605.0,67.21,75.47
44712.0,67.17,75.53
44819.0,67.05,75.73
44926.0,67.02,75.78
45033.0,66.99,75.82
45140.0,66.99,75.82
45247.0,66.99,75.82
45354.0,66.93,75.92
45461.0,66.96,75.87
45568.0,67.05,75.72
45675.0,66.96,75.87
45782.0,66.91,75.96
45889.0,66.82,76.1
45996.0,66.88,75.99
46103.0,66.89,75.99
46210.0,66.8,76.12
46317.0,66.78,76.16
46424.0,66.84,76.06
46531.0,66.82,76.1
46638.0,66.77,76.18
46745.0,66.77,76.17
46852.0,66.9,75.97
46959.0,66.96,75.87
47066.0,66.93,75.92
47173.0,67.08,75.68
47280.0,67.05,75.73
47387.0,67.02,75.78
47494.0,67.04,75.73
47601.0,66.96,75.88
47708.0,66.99,75.83
47815.0,67.02,75.78
47922.0,67.04,75.73
48029.0,67.16,75.55
48136.0,67.16,75.56
48243.0,67.35,75.23
48350.0,67.32,75.3
48457.0,67.36,75.22
48564.0,67.32,75.28
48671.0,67.37,75.2
48778.0,67.42,75.13
48885.0,67.41,75.15
48992.0,67.48,75.03
49099.0,67.53,74.95
49206.0,67.51,74.98
49313.0,67.53,74.96
49420.0,67.57,74.89
49527.0,67.55,74.91
49634.0,67.6,74.85
49741.0,67.46,75.06
49848.0,67.48,75.04
49955.0,67.49,75.01
50062.0,67.51,74.99
50169.0,67.55,74.92
50276.0,67.45,75.08
50383.0,67.43,75.11
50490.0,67.33,75.27
50597.0,67.32,75.28
50704.0,67.29,75.35
50811.0,67.31,75.31
50918.0,67.24,75.42
51025.0,67.29,75.34
51132.0,67.4,75.16
51239.0,67.36,75.23
51346.0,67.35,75.25
51453.0,67.4,75.17
51560.0,67.36,75.23
51667.0,67.32,75.3
51774.0,67.39,75.17
51881.0,67.27,75.38
51988.0,67.32,75.3
52095.0,67.37,75.22
52202.0,67.38,75.19
52309.0,67.31,75.3
52416.0,67.31,75.31
52523.0,67.24,75.42
52630.0,67.14,75.57
52737.0,67.08,75.68
52844.0,67.05,75.73
52951.0,67.02,75.78
53058.0,67.08,75.68
53165.0,67.05,75.73
53272.0,67.13,75.59
53379.0,67.07,75.69
53486.0,67.13,75.6
53593.0,67.12,75.61
53700.0,67.15,75.57
53807.0,67.14,75.58
53914.0,67.26,75.39
54021.0,67.22,75.45
54128.0,67.21,75.46
54235.0,67.32,75.29
54342.0,67.23,75.44
54449.0,67.19,75.5
54556.0,67.19,75.51
54663.0,67.21,75.47
54770.0,67.29,75.34
54877.0,67.22,75.45
54984.0,67.28,75.36
55091.0,67.27,75.38
55198.0,67.23,75.44
55305.0,67.37,75.21
55412.0,67.39,75.18
55519.0,67.46,75.06
55626.0,67.42,75.13
55733.0,67.44,75.1
55840.0,67.43,75.12
55947.0,67.41,75.14
56054.0,67.37,75.21
56161.0,67.39,75.18
56268.0,67.35,75.24
56375.0,67.25,75.4
56482.0,67.24,75.41
56589.0,67.35,75.24
56696.0,67.31,75.3
56803.0,67.36,75.22
56910.0,67.35,75.24
57017.0,67.43,75.11
57124.0,67.39,75.18
57231.0,67.35,75.25
57338.0,67.4,75.17
57445.0,67.5,75.0
57552.0,67.54,74.93
57659.0,67.56,74.91
57766.0,67.54,74.93
57873.0,67.58,74.86
57980.0,67.48,75.03
58087.0,67.47,75.06
58194.0,67.45,75.08
58301.0,67.41,75.15
58408.0,67.34,75.26
58515.0,67.45,75.09
58622.0,67.49,75.01
58729.0,67.51,74.99
58836.0,67.58,74.87
58943.0,67.65,74.76
59050.0,67.6,74.84
59157.0,67.61,74.82
59264.0,67.57,74.89
59371.0,67.64,74.78
59478.0,67.56,74.9
59585.0,67.51,74.98
59692.0,67.44,75.09
59799.0,67.43,75.12
59906.0,67.39,75.18
60013.0,67.29,75.34
60120.0,67.31,75.31
60227.0,67.24,75.42
60334.0,67.15,75.57
60441.0,67.17,75.53
60548.0,67.25,75.4
60655.0,67.31,75.31
60762.0,67.24,75.42
60869.0,67.14,75.57
60976.0,67.11,75.63
61083.0,67.05,75.73
61190.0,66.99,75.82
61297.0,67.02,75.78
61404.0,66.93,75.92
61511.0,66.9,75.96
61618.0,66.82,76.1
61725.0,66.8,76.14
61832.0,66.83,76.08
61939.0,66.86,76.02
62046.0,66.87,76.02
62153.0,66.81,76.11
62260.0,66.76,76.19
62367.0,66.65,76.37
62474.0,66.6,76.45
62581.0,66.56,76.52
62688.0,66.51,76.59
62795.0,66.41,76.76
62902.0,66.43,76.73
63009.0,66.44,76.7
63116.0,66.4,76.77
63223.0,66.42,76.74
