Time (ms),Raw Distance (mm),Filtered Distance (mm),Brake Position (%)
19674.0,70.0,69.52,71.74
19781.0,70.0,69.4,71.93
19888.0,69.0,69.26,72.16
19995.0,68.0,69.12,72.39
20102.0,68.0,68.99,72.6
20209.0,71.0,68.9,72.74
20316.0,67.0,68.83,72.85
20423.0,67.0,68.8,72.91
20530.0,70.0,68.8,72.9
20637.0,69.0,68.81,72.88
20744.0,68.0,68.82,72.87
20851.0,68.0,68.82,72.86
20958.0,71.0,68.83,72.85
21065.0,67.0,68.81,72.89
21172.0,71.0,68.79,72.93
21279.0,69.0,68.75,72.99
21386.0,69.0,68.72,73.04
21493.0,69.0,68.71,73.06
21600.0,69.0,68.72,73.03
21707.0,71.0,68.76,72.97
21814.0,68.0,68.81,72.89
21921.0,66.0,68.86,72.81
22028.0,70.0,68.93,72.7
22135.0,69.0,68.98,72.61
22242.0,69.0,69.02,72.54
22349.0,70.0,69.05,72.5
22456.0,68.0,69.03,72.53
22563.0,70.0,69.03,72.54
22670.0,67.0,69.0,72.58
22777.0,67.0,68.95,72.66
22884.0,71.0,68.92,72.71
22991.0,68.0,68.88,72.77
23098.0,69.0,68.85,72.82
23205.0,71.0,68.82,72.87
23312.0,68.0,68.8,72.9
23419.0,71.0,68.79,72.92
23526.0,69.0,68.8,72.91
23633.0,68.0,68.81,72.89
23740.0,68.0,68.84,72.84
23847.0,69.0,68.88,72.77
23954.0,69.0,68.92,72.71
24061.0,56.0,68.91,72.73
24168.0,41.0,68.81,72.88
24275.0,38.0,68.59,73.25
24382.0,34.0,68.14,73.97
24489.0,38.0,67.37,75.21
24596.0,39.0,66.18,77.13
24703.0,36.0,64.5,79.84
24810.0,45.0,62.35,83.3
24917.0,42.0,59.78,87.46
25024.0,47.0,56.91,92.07
25131.0,40.0,53.88,96.97
25238.0,28.0,50.86,100.0
25345.0,23.0,48.04,100.0
25452.0,24.0,45.52,100.0
25559.0,24.0,43.36,100.0
25666.0,19.0,41.49,100.0
25773.0,19.0,39.86,100.0
25880.0,22.0,38.36,100.0
25987.0,19.0,36.84,100.0
26094.0,18.0,35.2,100.0
26201.0,18.0,33.38,100.0
26308.0,20.0,31.42,100.0
26415.0,18.0,29.4,100.0
