Time (ms),Distance (mm),Brake Position (%)
8546.0,65.9,77.58
8653.0,66.03,77.38
8760.0,66.25,77.02
8867.0,66.46,76.68
8974.0,66.63,76.4
9081.0,66.68,76.32
9188.0,66.62,76.42
9295.0,66.6,76.45
9402.0,66.61,76.44
9509.0,66.58,76.49
9616.0,66.51,76.59
9723.0,66.34,76.87
9830.0,66.13,77.21
9937.0,66.1,77.25
10044.0,66.26,77.0
10151.0,66.51,76.6
10258.0,66.86,76.03
10365.0,67.21,75.46
10472.0,67.51,74.98
10579.0,67.77,74.57
10686.0,68.02,74.16
10793.0,68.18,73.91
10900.0,68.24,73.81
11007.0,68.27,73.76
11114.0,68.17,73.91
11221.0,67.89,74.36
11328.0,67.52,74.96
11435.0,67.05,75.72
11542.0,66.67,76.34
11649.0,66.43,76.73
11756.0,66.31,76.92
11863.0,66.33,76.89
11970.0,66.29,76.95
12077.0,66.26,76.99
12184.0,66.19,77.12
12291.0,66.06,77.32
12398.0,65.98,77.45
12505.0,66.0,77.42
12612.0,66.19,77.12
12719.0,66.48,76.65
12826.0,66.72,76.26
12933.0,66.96,75.87
13040.0,67.06,75.72
13147.0,67.2,75.48
13254.0,67.27,75.37
13361.0,67.43,75.12
13468.0,67.5,74.99
13575.0,67.47,75.05
13682.0,67.28,75.35
13789.0,67.01,75.78
13896.0,66.74,76.23
14003.0,66.57,76.49
14110.0,66.55,76.54
14217.0,66.71,76.27
14324.0,66.89,75.98
14431.0,67.16,75.54
14538.0,67.31,75.3
14645.0,67.42,75.13
14752.0,67.45,75.09
14859.0,67.37,75.22
14966.0,67.3,75.32
15073.0,67.27,75.37
15180.0,67.24,75.42
15287.0,67.25,75.41
15394.0,67.11,75.63
15501.0,66.89,75.98
15608.0,66.53,76.56
15715.0,66.32,76.91
15822.0,66.31,76.92
15929.0,66.59,76.46
16036.0,67.16,75.55
16143.0,67.67,74.73
16250.0,67.96,74.25
16357.0,67.99,74.21
16464.0,67.74,74.61
16571.0,67.44,75.09
16678.0,67.34,75.26
16785.0,67.45,75.08
16892.0,67.69,74.7
16999.0,67.85,74.44
17106.0,67.82,74.48
17213.0,67.55,74.92
17320.0,67.22,75.45
17427.0,67.05,75.72
17534.0,67.14,75.58
17641.0,67.34,75.26
17748.0,67.51,74.98
17855.0,67.48,75.04
17962.0,67.3,75.32
18069.0,67.08,75.68
18176.0,66.96,75.87
18283.0,67.12,75.61
18390.0,67.45,75.08
18497.0,67.89,74.37
18604.0,68.35,73.63
18711.0,68.79,72.93
18818.0,69.09,72.43
18925.0,69.23,72.21
19032.0,69.17,72.31
19139.0,68.98,72.61
19246.0,68.6,73.22
19353.0,68.16,73.93
19460.0,67.64,74.78
19567.0,67.07,75.7
19674.0,66.57,76.5
19781.0,66.31,76.92
19888.0,66.37,76.82
19995.0,66.81,76.11
20102.0,67.39,75.18
20209.0,67.82,74.49
20316.0,67.91,74.34
20423.0,67.64,74.78
20530.0,67.31,75.31
20637.0,67.11,75.63
20744.0,67.25,75.4
20851.0,67.69,74.69
20958.0,68.14,73.96
21065.0,68.49,73.41
21172.0,68.53,73.34
21279.0,68.29,73.73
21386.0,67.85,74.44
21493.0,67.38,75.2
21600.0,67.15,75.56
21707.0,67.24,75.42
21814.0,67.66,74.74
21921.0,68.24,73.8
22028.0,68.69,73.08
22135.0,68.97,72.62
22242.0,68.87,72.78
22349.0,68.47,73.44
22456.0,67.86,74.42
22563.0,67.35,75.24
22670.0,67.1,75.65
22777.0,67.18,75.52
22884.0,67.69,74.7
22991.0,68.32,73.68
23098.0,68.79,72.92
23205.0,69.08,72.45
23312.0,68.99,72.6
23419.0,68.63,73.17
23526.0,68.04,74.13
23633.0,67.5,75.0
23740.0,67.04,75.74
23847.0,66.84,76.06
23954.0,66.99,75.82
24061.0,67.28,75.35
24168.0,67.59,74.86
24275.0,67.81,74.51
24382.0,67.78,74.55
24489.0,67.54,74.93
24596.0,67.22,75.45
24703.0,66.9,75.97
24810.0,66.68,76.32
24917.0,66.75,76.2
25024.0,66.97,75.86
25131.0,67.24,75.42
25238.0,67.47,75.06
25345.0,67.56,74.91
25452.0,67.53,74.95
25559.0,67.41,75.14
25666.0,67.34,75.25
25773.0,67.24,75.42
25880.0,67.12,75.61
25987.0,67.05,75.72
26094.0,66.93,75.93
26201.0,66.72,76.25
26308.0,66.42,76.74
26415.0,66.07,77.31
26522.0,65.82,77.72
26629.0,65.71,77.89
26736.0,65.77,77.79
26843.0,66.1,77.26
26950.0,66.59,76.47
27057.0,67.07,75.69
27164.0,67.37,75.21
27271.0,67.41,75.14
27378.0,67.19,75.51
27485.0,66.81,76.11
27592.0,66.57,76.49
27699.0,66.57,76.5
27806.0,66.61,76.43
27913.0,66.59,76.47
28020.0,66.37,76.82
28127.0,65.97,77.47
28234.0,65.55,78.15
28341.0,65.32,78.51
28448.0,65.36,78.46
28555.0,65.63,78.01
28662.0,66.07,77.31
28769.0,66.43,76.73
28876.0,66.62,76.42
28983.0,66.66,76.35
29090.0,66.52,76.59
29197.0,66.3,76.93
29304.0,66.09,77.28
29411.0,65.96,77.49
29518.0,65.9,77.58
29625.0,65.91,77.57
29732.0,66.02,77.38
29839.0,66.12,77.22
29946.0,66.16,77.16
30053.0,66.22,77.07
30160.0,66.22,77.07
30267.0,66.21,77.08
30374.0,66.17,77.15
30481.0,66.25,77.02
30588.0,66.35,76.85
30695.0,66.53,76.57
30802.0,66.7,76.29
30909.0,66.88,76.0
31016.0,66.94,75.9
31123.0,66.98,75.84
31230.0,67.03,75.76
31337.0,67.07,75.69
31444.0,67.06,75.71
31551.0,67.05,75.72
31658.0,67.05,75.73
31765.0,67.15,75.56
31872.0,67.25,75.41
31979.0,67.39,75.17
32086.0,67.45,75.08
32193.0,67.42,75.14
32300.0,67.29,75.34
32407.0,67.21,75.46
32514.0,67.11,75.63
32621.0,67.0,75.8
32728.0,66.89,75.99
32835.0,66.77,76.18
32942.0,66.68,76.33
33049.0,66.61,76.44
33156.0,66.63,76.4
33263.0,66.73,76.25
33370.0,66.81,76.12
33477.0,66.94,75.91
33584.0,67.04,75.74
33691.0,67.2,75.48
33798.0,67.34,75.25
33905.0,67.45,75.08
34012.0,67.5,75.0
34119.0,67.33,75.28
34226.0,67.03,75.76
34333.0,66.71,76.27
34440.0,66.46,76.68
34547.0,66.31,76.92
34654.0,66.28,76.97
34761.0,66.32,76.91
34868.0,66.33,76.88
34975.0,66.33,76.89
35082.0,66.37,76.83
35189.0,66.45,76.69
35296.0,66.53,76.56
35403.0,66.66,76.36
35510.0,66.76,76.19
35617.0,66.88,76.0
35724.0,66.97,75.86
35831.0,66.93,75.92
35938.0,66.84,76.07
36045.0,66.57,76.5
