Time (ms),Distance (mm),Brake Position (%)
0.0,65.9,77.58
107.0,66.03,77.38
214.0,66.25,77.02
321.0,66.46,76.68
428.0,66.63,76.4
535.0,66.68,76.32
642.0,66.62,76.42
749.0,66.6,76.45
856.0,66.61,76.44
963.0,66.58,76.49
1070.0,66.51,76.59
1177.0,66.34,76.87
1284.0,66.13,77.21
1391.0,66.1,77.25
1498.0,66.26,77.0
1605.0,66.51,76.6
1712.0,66.86,76.03
1819.0,67.21,75.46
1926.0,67.51,74.98
2033.0,67.77,74.57
2140.0,68.02,74.16
2247.0,68.18,73.91
2354.0,68.24,73.81
2461.0,68.27,73.76
2568.0,68.17,73.91
2675.0,67.89,74.36
2782.0,67.52,74.96
2889.0,67.05,75.72
2996.0,66.67,76.34
3103.0,66.43,76.73
3210.0,66.31,76.92
3317.0,66.33,76.89
3424.0,66.29,76.95
3531.0,66.26,76.99
3638.0,66.19,77.12
3745.0,66.06,77.32
3852.0,65.98,77.45
3959.0,66.0,77.42
4066.0,66.19,77.12
4173.0,66.48,76.65
4280.0,66.72,76.26
4387.0,66.96,75.87
4494.0,67.06,75.72
4601.0,67.2,75.48
4708.0,67.27,75.37
4815.0,67.43,75.12
4922.0,67.5,74.99
5029.0,67.47,75.05
5136.0,67.28,75.35
5243.0,67.01,75.78
5350.0,66.74,76.23
5457.0,66.57,76.49
5564.0,66.55,76.54
5671.0,66.71,76.27
5778.0,66.89,75.98
5885.0,67.16,75.54
5992.0,67.31,75.3
6099.0,67.42,75.13
6206.0,67.45,75.09
6313.0,67.37,75.22
6420.0,67.3,75.32
6527.0,67.27,75.37
6634.0,67.24,75.42
6741.0,67.25,75.41
6848.0,67.11,75.63
6955.0,66.89,75.98
7062.0,66.53,76.56
7169.0,66.32,76.91
7276.0,66.31,76.92
7383.0,66.59,76.46
7490.0,67.16,75.55
7597.0,67.67,74.73
7704.0,67.96,74.25
7811.0,67.99,74.21
7918.0,67.74,74.61
8025.0,67.44,75.09
8132.0,67.34,75.26
8239.0,67.45,75.08
8346.0,67.69,74.7
8453.0,67.85,74.44
8560.0,67.82,74.48
8667.0,67.55,74.92
8774.0,67.22,75.45
8881.0,67.05,75.72
8988.0,67.14,75.58
9095.0,67.34,75.26
9202.0,67.51,74.98
9309.0,67.48,75.04
9416.0,67.3,75.32
9523.0,67.08,75.68
9630.0,66.96,75.87
9737.0,67.12,75.61
9844.0,67.45,75.08
9951.0,67.89,74.37
10058.0,68.35,73.63
10165.0,68.79,72.93
10272.0,69.09,72.43
10379.0,69.23,72.21
10486.0,69.17,72.31
10593.0,68.98,72.61
10700.0,68.6,73.22
10807.0,68.16,73.93
