Time (ms),Raw Distance (mm),Filtered Distance (mm),Brake Position (%)
0.0,70.0,69.52,71.74
107.0,70.0,69.4,71.93
214.0,69.0,69.26,72.16
321.0,68.0,69.12,72.39
428.0,68.0,68.99,72.6
535.0,71.0,68.9,72.74
642.0,67.0,68.83,72.85
749.0,67.0,68.8,72.91
856.0,70.0,68.8,72.9
963.0,69.0,68.81,72.88
1070.0,68.0,68.82,72.87
1177.0,68.0,68.82,72.86
1284.0,71.0,68.83,72.85
1391.0,67.0,68.81,72.89
1498.0,71.0,68.79,72.93
1605.0,69.0,68.75,72.99
1712.0,69.0,68.72,73.04
1819.0,69.0,68.71,73.06
1926.0,69.0,68.72,73.03
2033.0,71.0,68.76,72.97
2140.0,68.0,68.81,72.89
2247.0,66.0,68.86,72.81
2354.0,70.0,68.93,72.7
2461.0,69.0,68.98,72.61
2568.0,69.0,69.02,72.54
2675.0,70.0,69.05,72.5
2782.0,68.0,69.03,72.53
2889.0,70.0,69.03,72.54
2996.0,67.0,69.0,72.58
3103.0,67.0,68.95,72.66
3210.0,71.0,68.92,72.71
3317.0,68.0,68.88,72.77
3424.0,69.0,68.85,72.82
3531.0,71.0,68.82,72.87
3638.0,68.0,68.8,72.9
3745.0,71.0,68.79,72.92
3852.0,69.0,68.8,72.91
3959.0,68.0,68.81,72.89
4066.0,68.0,68.84,72.84
4173.0,69.0,68.88,72.77
4280.0,69.0,68.92,72.71
4387.0,56.0,68.91,72.73
4494.0,41.0,68.81,72.88
4601.0,38.0,68.59,73.25
4708.0,34.0,68.14,73.97
4815.0,38.0,67.37,75.21
4922.0,39.0,66.18,77.13
5029.0,36.0,64.5,79.84
5136.0,45.0,62.35,83.3
5243.0,42.0,59.78,87.46
5350.0,47.0,56.91,92.07
5457.0,40.0,53.88,96.97
5564.0,28.0,50.86,100.0
5671.0,23.0,48.04,100.0
5778.0,24.0,45.52,100.0
5885.0,24.0,43.36,100.0
5992.0,19.0,41.49,100.0
6099.0,19.0,39.86,100.0
6206.0,22.0,38.36,100.0
6313.0,19.0,36.84,100.0
6420.0,18.0,35.2,100.0
6527.0,18.0,33.38,100.0
6634.0,20.0,31.42,100.0
6741.0,18.0,29.4,100.0
6848.0,20.0,27.39,100.0
6955.0,20.0,25.51,100.0
7062.0,19.0,23.83,100.0
7169.0,18.0,22.43,100.0
7276.0,17.0,21.35,100.0
7383.0,20.0,20.53,100.0
7490.0,17.0,19.96,100.0
7597.0,19.0,19.55,100.0
7704.0,20.0,19.27,100.0
7811.0,19.0,19.1,100.0
7918.0,22.0,19.0,100.0
8025.0,17.0,18.91,100.0
8132.0,22.0,18.86,100.0
8239.0,17.0,18.85,100.0
8346.0,18.0,18.86,100.0
8453.0,16.0,18.87,100.0
8560.0,17.0,18.9,100.0
8667.0,18.0,18.93,100.0
8774.0,19.0,18.94,100.0
8881.0,19.0,18.92,100.0
8988.0,21.0,18.88,100.0
9095.0,22.0,18.81,100.0
9202.0,22.0,18.72,100.0
9309.0,23.0,18.67,100.0
9416.0,22.0,18.65,100.0
9523.0,23.0,18.72,100.0
9630.0,22.0,18.86,100.0
9737.0,22.0,19.12,100.0
9844.0,25.0,19.46,100.0
9951.0,23.0,19.87,100.0
10058.0,25.0,20.34,100.0
10165.0,29.0,20.83,100.0
10272.0,26.0,21.33,100.0
10379.0,27.0,21.8,100.0
10486.0,31.0,22.29,100.0
10593.0,42.0,22.82,100.0
10700.0,38.0,23.38,100.0
