Time (ms),Distance (mm),Brake Position (%)
34975.0,66.93,75.92
35082.0,65.21,78.7
35189.0,65.93,77.53
35296.0,65.86,77.64
35403.0,64.41,79.98
35510.0,67.59,74.86
35617.0,66.14,77.2
35724.0,65.93,77.53
35831.0,65.21,78.7
35938.0,66.93,75.92
36045.0,67.79,74.53
36152.0,66.27,76.98
36259.0,68.0,74.19
36366.0,69.45,71.85
36473.0,64.48,79.87
36580.0,65.07,78.92
36687.0,66.86,76.03
36794.0,67.07,75.7
36901.0,67.66,74.75
37008.0,64.41,79.98
37115.0,66.07,77.31
37222.0,68.79,72.91
37329.0,68.86,72.8
37436.0,67.07,75.7
37543.0,66.0,77.42
37650.0,65.14,78.81
37757.0,65.86,77.64
37864.0,65.14,78.81
37971.0,66.0,77.42
38078.0,66.86,76.03
38185.0,66.21,77.09
38292.0,67.79,74.53
38399.0,66.86,76.03
38506.0,64.27,80.2
38613.0,65.0,79.03
38720.0,65.73,77.86
38827.0,63.27,81.82
38934.0,64.27,80.2
39041.0,68.59,73.24
39148.0,68.14,73.97
39255.0,68.52,73.36
39362.0,63.48,81.48
39469.0,64.07,80.53
39576.0,66.0,77.42
39683.0,67.59,74.86
39790.0,64.41,79.98
39897.0,66.0,77.42
40004.0,67.79,74.53
40111.0,67.0,75.81
40218.0,66.07,77.31
40325.0,66.21,77.09
40432.0,68.59,73.24
40539.0,66.34,76.87
40646.0,67.86,74.41
40753.0,68.14,73.97
40860.0,69.79,71.3
40967.0,69.07,72.47
41074.0,68.73,73.02
41181.0,65.48,78.26
41288.0,67.86,74.41
41395.0,68.93,72.69
41502.0,68.86,72.8
41609.0,67.14,75.59
41716.0,67.14,75.59
41823.0,68.73,73.02
41930.0,67.34,75.25
42037.0,69.52,71.74
42144.0,66.62,76.42
42251.0,70.31,70.46
42358.0,66.48,76.64
42465.0,67.86,74.41
42572.0,67.93,74.3
42679.0,67.27,75.36
42786.0,69.66,71.52
42893.0,68.14,73.97
43000.0,67.79,74.53
43107.0,65.48,78.26
43214.0,68.66,73.13
43321.0,68.07,74.08
43428.0,68.07,74.08
43535.0,68.73,73.02
43642.0,66.27,76.98
43749.0,66.86,76.03
43856.0,66.07,77.31
43963.0,66.07,77.31
44070.0,67.0,75.81
44177.0,67.86,74.41
44284.0,67.14,75.59
44391.0,67.79,74.53
44498.0,66.14,77.2
44605.0,65.86,77.64
44712.0,64.27,80.2
44819.0,65.93,77.53
44926.0,66.93,75.92
45033.0,66.86,76.03
45140.0,65.34,78.48
45247.0,67.86,74.41
45354.0,68.79,72.91
45461.0,67.27,75.36
45568.0,68.93,72.69
45675.0,69.79,71.3
45782.0,68.14,73.97
45889.0,67.93,74.3
45996.0,67.07,75.7
46103.0,66.93,75.92
46210.0,65.93,77.53
46317.0,64.34,80.09
46424.0,66.66,76.36
46531.0,65.27,78.59
46638.0,66.66,76.36
46745.0,64.34,80.09
46852.0,65.93,77.53
46959.0,67.07,75.7
47066.0,68.66,73.13
47173.0,66.14,77.2
47280.0,65.41,78.37
47387.0,69.31,72.07
47494.0,65.41,78.37
47601.0,65.86,77.64
47708.0,65.21,78.7
47815.0,66.93,75.92
47922.0,67.73,74.64
48029.0,65.27,78.59
48136.0,66.14,77.2
48243.0,68.59,73.24
48350.0,66.21,77.09
48457.0,65.79,77.75
48564.0,63.41,81.59
48671.0,65.73,77.86
48778.0,65.21,78.7
48885.0,66.79,76.14
48992.0,66.21,77.09
49099.0,67.66,74.75
49206.0,65.41,78.37
49313.0,67.73,74.64
49420.0,67.07,75.7
49527.0,67.07,75.7
49634.0,68.0,74.19
49741.0,68.66,73.13
49848.0,65.34,78.48
49955.0,66.0,77.42
50062.0,66.93,75.92
50169.0,66.93,75.92
50276.0,66.21,77.09
50383.0,67.73,74.64
50490.0,66.21,77.09
50597.0,66.79,76.14
50704.0,65.41,78.37
50811.0,68.59,73.24
50918.0,66.93,75.92
51025.0,64.62,79.65
51132.0,69.38,71.96
51239.0,67.07,75.7
51346.0,65.55,78.15
51453.0,70.25,70.57
51560.0,66.21,77.09
51667.0,64.34,80.09
51774.0,66.73,76.25
51881.0,66.0,77.42
51988.0,65.21,78.7
52095.0,67.07,75.7
52202.0,69.59,71.63
52309.0,67.14,75.59
52416.0,66.14,77.2
52523.0,67.0,75.81
52630.0,67.73,74.64
52737.0,65.21,78.7
52844.0,65.21,78.7
52951.0,67.73,74.64
53058.0,67.07,75.7
53165.0,67.07,75.7
53272.0,68.07,74.08
53379.0,69.93,71.08
53486.0,70.45,70.24
53593.0,64.75,79.43
53700.0,67.73,74.64
53807.0,68.07,74.08
53914.0,68.66,73.13
54021.0,65.34,78.48
54128.0,66.14,77.2
54235.0,68.38,73.58
54342.0,63.75,81.04
54449.0,67.52,74.97
54556.0,66.07,77.31
54663.0,65.21,78.7
54770.0,66.79,76.14
54877.0,66.21,77.09
54984.0,67.93,74.3
55091.0,68.52,73.36
55198.0,63.62,81.26
55305.0,65.73,77.86
55412.0,65.14,78.81
55519.0,65.93,77.53
55626.0,66.21,77.09
55733.0,68.45,73.47
55840.0,64.41,79.98
55947.0,65.14,78.81
56054.0,67.93,74.3
56161.0,69.86,71.19
56268.0,69.59,71.63
56375.0,64.41,79.98
56482.0,64.21,80.31
56589.0,66.86,76.03
56696.0,67.86,74.41
56803.0,67.07,75.7
56910.0,67.07,75.7
57017.0,67.66,74.75
57124.0,64.48,79.87
57231.0,66.93,75.92
57338.0,68.73,73.02
57445.0,67.07,75.7
57552.0,65.93,77.53
57659.0,64.14,80.42
57766.0,64.21,80.31
57873.0,66.86,76.03
57980.0,67.86,74.41
58087.0,66.86,76.03
58194.0,64.55,79.76
58301.0,68.52,73.36
58408.0,67.0,75.81
58515.0,65.27,78.59
58622.0,66.86,76.03
58729.0,67.14,75.59
58836.0,68.66,73.13
58943.0,66.41,76.76
59050.0,68.59,73.24
59157.0,66.27,76.98
59264.0,66.86,76.03
