Time (ms),Distance (mm),Brake Position (%)
164.0,65.21,78.69
27271.0,60.73,85.91
27378.0,66.49,76.62
27485.0,61.49,84.7
27592.0,64.76,79.42
27699.0,65.74,77.83
27806.0,63.25,81.85
27913.0,67.49,75.01
28020.0,62.46,83.13
28127.0,60.49,86.31
28234.0,63.77,81.02
28341.0,66.51,76.6
28448.0,65.0,79.03
28555.0,66.74,76.23
28662.0,62.51,83.05
28769.0,70.99,69.38
28876.0,59.21,88.37
28983.0,64.75,79.43
29090.0,63.99,80.66
29197.0,63.99,80.66
29304.0,63.99,80.66
29411.0,64.02,80.62
29518.0,69.25,72.17
29625.0,63.48,81.48
29732.0,66.74,76.23
29839.0,62.49,83.09
29946.0,65.76,77.81
30053.0,66.73,76.24
30160.0,60.74,85.9
30267.0,68.24,73.8
30374.0,60.75,85.89
30481.0,70.0,70.96
30588.0,61.74,84.29
30695.0,69.26,72.16
30802.0,65.24,78.65
30909.0,65.98,77.46
31016.0,62.47,83.11
31123.0,62.25,83.47
31230.0,66.52,76.58
31337.0,66.73,76.24
31444.0,60.74,85.9
31551.0,68.27,73.76
31658.0,66.0,77.42
31765.0,67.72,74.64
31872.0,59.98,87.12
31979.0,68.25,73.79
32086.0,62.5,83.06
32193.0,69.26,72.16
32300.0,65.22,78.68
32407.0,62.48,83.1
32514.0,64.02,80.61
32621.0,70.99,69.36
32728.0,60.96,85.55
32835.0,63.99,80.66
32942.0,63.99,80.67
33049.0,62.21,83.53
33156.0,57.75,90.72
33263.0,67.04,75.74
33370.0,67.47,75.05
33477.0,57.27,91.51
33584.0,75.01,62.88
33691.0,58.47,89.57
321814.0,-388.76,100.0
21921.0,450.75,0.0
22028.0,-118.94,100.0
22135.0,-15.6,100.0
22242.0,381.96,0.0
22349.0,-415.45,100.0
22456.0,630.09,0.0
22563.0,-462.43,100.0
22670.0,400.94,0.0
22777.0,40.36,100.0
22884.0,-202.97,100.0
22991.0,458.7,0.0
23098.0,-283.52,100.0
23205.0,305.09,0.0
23312.0,-84.33,100.0
23419.0,188.34,0.0
23526.0,-76.92,100.0
23633.0,286.65,0.0
23740.0,-284.78,100.0
23847.0,492.88,0.0
23954.0,-339.22,100.0
24061.0,390.41,0.0
24168.0,-180.07,100.0
24275.0,221.04,0.0
24382.0,57.89,90.5
24489.0,-152.19,100.0
24596.0,596.43,0.0
24703.0,-762.06,100.0
24810.0,1050.15,0.0
24917.0,-884.08,100.0
25024.0,840.49,0.0
25131.0,-468.69,100.0
25238.0,379.13,0.0
25345.0,-81.58,100.0
25452.0,109.76,6.85
25559.0,26.9,100.0
25666.0,221.16,0.0
25773.0,-277.11,100.0
25880.0,505.37,0.0
25987.0,-278.41,100.0
26094.0,235.59,0.0
26201.0,-45.71,100.0
26308.0,258.83,0.0
26415.0,-218.57,100.0
26522.0,348.81,0.0
26629.0,-137.14,100.0
26736.0,213.83,0.0
26843.0,-123.06,100.0
26950.0,316.78,0.0
27057.0,-183.99,100.0
27164.0,246.08,0.0
27271.0,-48.0,100.0
27378.0,177.37,0.0
27485.0,-120.0,100.0
27592.0,343.38,0.0
27699.0,-280.85,100.0
27806.0,398.19,0.0
27913.0,-165.15,100.0
28020.0,198.14,0.0
28127.0,-67.84,100.0
28234.0,215.01,0.0
28341.0,1.26,100.0
28448.0,-29.34,100.0
28555.0,233.72,0.0
28662.0,13.84,100.0
28769.0,-94.69,100.0
28876.0,330.8,0.0
28983.0,-118.28,100.0
29090.0,92.13,35.28
29197.0,88.62,40.93
29304.0,179.53,0.0
29411.0,-310.69,100.0
29518.0,685.08,0.0
29625.0,-613.52,100.0
29732.0,642.6,0.0
29839.0,-398.82,100.0
29946.0,570.27,0.0
30053.0,-619.41,100.0
30160.0,934.58,0.0
30267.0,-843.96,100.0
30374.0,872.02,0.0
30481.0,-621.18,100.0
30588.0,677.99,0.0
30695.0,-464.19,100.0
30802.0,479.68,0.0
30909.0,-247.14,100.0
31016.0,304.14,0.0
31123.0,-50.23,100.0
31230.0,-22.7,100.0
31337.0,365.39,0.0
31444.0,-393.34,100.0
31551.0,595.55,0.0
31658.0,-406.41,100.0
31765.0,401.82,0.0
31872.0,-125.84,100.0
31979.0,159.33,0.0
32086.0,44.45,100.0
32193.0,46.7,100.0
32300.0,57.95,90.41
32407.0,117.67,0.0
32514.0,52.61,99.02
32621.0,-46.08,100.0
32728.0,271.85,0.0
32835.0,-129.53,100.0
32942.0,165.99,0.0
