Time (ms),Distance (mm),Brake Position (%)
0.0,59.42,88.03
107.0,59.57,87.8
214.0,59.7,87.57
321.0,59.84,87.35
428.0,59.95,87.18
535.0,60.05,87.01
642.0,60.14,86.87
749.0,60.23,86.73
856.0,60.34,86.55
963.0,60.41,86.44
1070.0,60.51,86.28
1177.0,60.66,86.03
1284.0,60.79,85.83
1391.0,60.92,85.61
1498.0,61.06,85.39
1605.0,61.14,85.25
1712.0,61.23,85.11
1819.0,61.35,84.93
1926.0,61.41,84.82
2033.0,61.48,84.71
2140.0,61.59,84.53
2247.0,61.69,84.37
2354.0,61.77,84.25
2461.0,61.89,84.05
2568.0,61.96,83.93
2675.0,62.07,83.76
2782.0,62.13,83.67
2889.0,62.2,83.55
2996.0,62.27,83.44
3103.0,62.35,83.3
3210.0,62.42,83.19
3317.0,62.52,83.03
3424.0,62.57,82.95
3531.0,62.62,82.87
3638.0,62.67,82.79
3745.0,62.69,82.76
3852.0,62.74,82.68
3959.0,62.77,82.62
4066.0,62.84,82.52
4173.0,62.84,82.52
4280.0,62.88,82.44
4387.0,62.9,82.42
4494.0,62.95,82.34
4601.0,63.07,82.15
4708.0,63.09,82.11
4815.0,63.17,81.99
4922.0,63.25,81.85
5029.0,63.32,81.74
5136.0,63.36,81.67
5243.0,63.4,81.61
5350.0,63.5,81.45
5457.0,63.52,81.42
5564.0,63.6,81.29
5671.0,63.68,81.16
5778.0,63.7,81.13
5885.0,63.78,81.0
5992.0,63.83,80.92
6099.0,63.9,80.8
6206.0,63.92,80.77
6313.0,63.97,80.7
6420.0,64.04,80.58
6527.0,64.07,80.53
6634.0,64.08,80.51
6741.0,64.08,80.51
6848.0,64.11,80.47
6955.0,64.2,80.33
7062.0,64.24,80.26
7169.0,64.23,80.27
7276.0,64.26,80.22
7383.0,64.3,80.16
7490.0,64.34,80.09
7597.0,64.38,80.03
7704.0,64.42,79.97
7811.0,64.46,79.91
7918.0,64.51,79.82
8025.0,64.55,79.76
8132.0,64.55,79.75
8239.0,64.62,79.65
8346.0,64.67,79.57
8453.0,64.76,79.42
8560.0,64.83,79.31
8667.0,64.87,79.24
8774.0,64.87,79.24
8881.0,64.89,79.21
8988.0,64.94,79.13
9095.0,64.97,79.09
9202.0,64.98,79.06
9309.0,65.01,79.01
9416.0,65.06,78.94
9523.0,65.07,78.92
9630.0,65.11,78.85
9737.0,65.22,78.68
9844.0,65.3,78.55
9951.0,65.31,78.53
10058.0,65.32,78.51
10165.0,65.36,78.45
10272.0,65.39,78.41
10379.0,65.41,78.37
10486.0,65.39,78.41
10593.0,65.38,78.42
10700.0,65.41,78.38
10807.0,65.44,78.31
10914.0,65.5,78.23
11021.0,65.5,78.22
11128.0,65.51,78.21
11235.0,65.56,78.12
11342.0,65.61,78.04
11449.0,65.62,78.03
11556.0,65.61,78.05
11663.0,65.62,78.04
11770.0,65.62,78.03
11877.0,65.66,77.97
11984.0,65.69,77.92
12091.0,65.73,77.86
12198.0,65.76,77.81
12305.0,65.75,77.82
12412.0,65.78,77.77
12519.0,65.84,77.67
12626.0,65.86,77.64
12733.0,65.86,77.64
12840.0,65.91,77.57
12947.0,66.0,77.42
13054.0,65.97,77.47
13161.0,66.03,77.37
13268.0,66.04,77.35
13375.0,66.04,77.35
13482.0,66.1,77.26
13589.0,66.09,77.28
13696.0,66.11,77.24
13803.0,66.11,77.24
13910.0,66.14,77.19
14017.0,66.2,77.1
14124.0,66.22,77.06
14231.0,66.25,77.02
14338.0,66.26,77.0
14445.0,66.3,76.93
14552.0,66.3,76.94
14659.0,66.32,76.9
14766.0,66.32,76.91
14873.0,66.3,76.94
14980.0,66.29,76.95
15087.0,66.32,76.91
15194.0,66.33,76.89
15301.0,66.29,76.94
15408.0,66.32,76.9
15515.0,66.34,76.86
15622.0,66.35,76.85
15729.0,66.38,76.81
15836.0,66.4,76.77
15943.0,66.38,76.8
16050.0,66.38,76.81
16157.0,66.41,76.75
16264.0,66.36,76.83
16371.0,66.37,76.82
16478.0,66.35,76.85
16585.0,66.38,76.81
16692.0,66.33,76.89
16799.0,66.34,76.87
