Time (ms),Distance (mm),Brake Position (%)
15180.0,59.42,88.03
15287.0,59.57,87.8
15394.0,59.7,87.57
15501.0,59.84,87.35
15608.0,59.95,87.18
15715.0,60.05,87.01
15822.0,60.14,86.87
15929.0,60.23,86.73
16036.0,60.34,86.55
16143.0,60.41,86.44
16250.0,60.51,86.28
16357.0,60.66,86.03
16464.0,60.79,85.83
16571.0,60.92,85.61
16678.0,61.06,85.39
16785.0,61.14,85.25
16892.0,61.23,85.11
16999.0,61.35,84.93
17106.0,61.41,84.82
17213.0,61.48,84.71
17320.0,61.59,84.53
17427.0,61.69,84.37
17534.0,61.77,84.25
17641.0,61.89,84.05
17748.0,61.96,83.93
17855.0,62.07,83.76
17962.0,62.13,83.67
18069.0,62.2,83.55
18176.0,62.27,83.44
18283.0,62.35,83.3
18390.0,62.42,83.19
18497.0,62.52,83.03
18604.0,62.57,82.95
18711.0,62.62,82.87
18818.0,62.67,82.79
18925.0,62.69,82.76
19032.0,62.74,82.68
19139.0,62.77,82.62
19246.0,62.84,82.52
19353.0,62.84,82.52
19460.0,62.88,82.44
19567.0,62.9,82.42
19674.0,62.95,82.34
19781.0,63.07,82.15
19888.0,63.09,82.11
19995.0,63.17,81.99
20102.0,63.25,81.85
20209.0,63.32,81.74
20316.0,63.36,81.67
20423.0,63.4,81.61
20530.0,63.5,81.45
20637.0,63.52,81.42
20744.0,63.6,81.29
20851.0,63.68,81.16
20958.0,63.7,81.13
21065.0,63.78,81.0
21172.0,63.83,80.92
21279.0,63.9,80.8
21386.0,63.92,80.77
21493.0,63.97,80.7
21600.0,64.04,80.58
21707.0,64.07,80.53
21814.0,64.08,80.51
21921.0,64.08,80.51
22028.0,64.11,80.47
22135.0,64.2,80.33
22242.0,64.24,80.26
22349.0,64.23,80.27
22456.0,64.26,80.22
22563.0,64.3,80.16
22670.0,64.34,80.09
22777.0,64.38,80.03
22884.0,64.42,79.97
22991.0,64.46,79.91
23098.0,64.51,79.82
23205.0,64.55,79.76
23312.0,64.55,79.75
23419.0,64.62,79.65
23526.0,64.67,79.57
23633.0,64.76,79.42
23740.0,64.83,79.31
23847.0,64.87,79.24
23954.0,64.87,79.24
24061.0,64.89,79.21
24168.0,64.94,79.13
24275.0,64.97,79.09
24382.0,64.98,79.06
24489.0,65.01,79.01
24596.0,65.06,78.94
24703.0,65.07,78.92
24810.0,65.11,78.85
24917.0,65.22,78.68
25024.0,65.3,78.55
25131.0,65.31,78.53
25238.0,65.32,78.51
25345.0,65.36,78.45
25452.0,65.39,78.41
25559.0,65.41,78.37
25666.0,65.39,78.41
25773.0,65.38,78.42
25880.0,65.41,78.38
25987.0,65.44,78.31
26094.0,65.5,78.23
26201.0,65.5,78.22
26308.0,65.51,78.21
26415.0,65.56,78.12
26522.0,65.61,78.04
26629.0,65.62,78.03
26736.0,65.61,78.05
26843.0,65.62,78.04
26950.0,65.62,78.03
27057.0,65.66,77.97
27164.0,65.69,77.92
27271.0,65.73,77.86
27378.0,65.76,77.81
27485.0,65.75,77.82
27592.0,65.78,77.77
27699.0,65.84,77.67
27806.0,65.86,77.64
27913.0,65.86,77.64
28020.0,65.91,77.57
28127.0,66.0,77.42
28234.0,65.97,77.47
28341.0,66.03,77.37
28448.0,66.04,77.35
28555.0,66.04,77.35
28662.0,66.1,77.26
28769.0,66.09,77.28
28876.0,66.11,77.24
28983.0,66.11,77.24
29090.0,66.14,77.19
29197.0,66.2,77.1
29304.0,66.22,77.06
29411.0,66.25,77.02
29518.0,66.26,77.0
29625.0,66.3,76.93
29732.0,66.3,76.94
29839.0,66.32,76.9
29946.0,66.32,76.91
30053.0,66.3,76.94
30160.0,66.29,76.95
30267.0,66.32,76.91
30374.0,66.33,76.89
30481.0,66.29,76.94
30588.0,66.32,76.9
30695.0,66.34,76.86
30802.0,66.35,76.85
30909.0,66.38,76.81
31016.0,66.4,76.77
31123.0,66.38,76.8
31230.0,66.38,76.81
31337.0,66.41,76.75
31444.0,66.36,76.83
31551.0,66.37,76.82
31658.0,66.35,76.85
