Time (ms),Distance (mm),Brake Position (%)
0.0,1.92,100.0
107.0,3.73,100.0
214.0,5.57,100.0
321.0,7.42,100.0
428.0,9.19,100.0
535.0,10.9,100.0
642.0,12.5,100.0
749.0,14.06,100.0
856.0,15.52,100.0
963.0,17.13,100.0
1070.0,18.53,100.0
1177.0,19.94,100.0
1284.0,21.22,100.0
1391.0,22.55,100.0
1498.0,23.76,100.0
1605.0,25.08,100.0
1712.0,26.24,100.0
1819.0,27.49,100.0
1926.0,28.61,100.0
2033.0,29.7,100.0
2140.0,30.78,100.0
2247.0,31.87,100.0
2354.0,32.83,100.0
2461.0,33.86,100.0
2568.0,34.76,100.0
2675.0,35.67,100.0
2782.0,36.62,100.0
2889.0,37.47,100.0
2996.0,38.22,100.0
3103.0,38.97,100.0
3210.0,39.7,100.0
3317.0,40.37,100.0
3424.0,41.09,100.0
3531.0,41.88,100.0
3638.0,42.67,100.0
3745.0,43.4,100.0
3852.0,43.97,100.0
3959.0,44.56,100.0
4066.0,45.18,100.0
4173.0,45.85,100.0
4280.0,46.49,100.0
4387.0,47.12,100.0
4494.0,47.7,100.0
4601.0,48.26,100.0
4708.0,48.72,100.0
4815.0,49.19,100.0
4922.0,49.68,100.0
5029.0,50.1,100.0
5136.0,50.62,100.0
5243.0,51.1,100.0
5350.0,51.5,100.0
5457.0,51.9,100.0
5564.0,52.36,99.41
5671.0,52.76,98.77
5778.0,53.15,98.15
5885.0,53.43,97.69
5992.0,53.83,97.05
6099.0,54.15,96.52
6206.0,54.59,95.83
6313.0,54.92,95.29
6420.0,55.24,94.77
6527.0,55.56,94.27
6634.0,55.89,93.73
6741.0,56.21,93.21
6848.0,56.53,92.7
6955.0,56.8,92.25
7062.0,57.1,91.77
7169.0,57.39,91.31
7276.0,57.73,90.76
7383.0,57.94,90.42
7490.0,58.23,89.95
7597.0,58.43,89.63
7704.0,58.62,89.32
7811.0,58.92,88.84
7918.0,59.04,88.64
8025.0,59.19,88.41
8132.0,59.41,88.04
8239.0,59.58,87.78
8346.0,59.76,87.48
8453.0,59.92,87.23
8560.0,60.15,86.85
8667.0,60.29,86.63
8774.0,60.46,86.36
8881.0,60.59,86.14
8988.0,60.78,85.84
9095.0,60.93,85.6
9202.0,61.16,85.22
9309.0,61.39,84.85
9416.0,61.47,84.73
9523.0,61.57,84.56
9630.0,61.67,84.4
9737.0,61.91,84.01
9844.0,62.09,83.72
9951.0,62.15,83.63
10058.0,62.2,83.55
10165.0,62.34,83.32
10272.0,62.42,83.2
12734.0,61.73,84.31
12841.0,65.74,77.84
12948.0,61.5,84.68
13055.0,68.25,73.79
13162.0,62.5,83.06
13269.0,69.26,72.16
13376.0,65.23,78.67
13483.0,64.24,80.25
13590.0,66.74,76.23
13697.0,62.51,83.05
13804.0,71.0,69.35
13911.0,62.75,82.66
14018.0,72.05,67.66
14125.0,74.24,64.14
14232.0,64.93,79.15
14339.0,60.98,85.52
14446.0,67.51,74.98
14553.0,65.99,77.43
14660.0,65.98,77.46
14767.0,62.49,83.08
14874.0,67.49,75.01
14981.0,62.49,83.09
15088.0,65.75,77.82
15195.0,64.99,79.04
15302.0,65.0,79.03
15409.0,66.74,76.23
15516.0,62.49,83.09
15623.0,65.74,77.84
15730.0,61.5,84.68
15837.0,68.28,73.74
15944.0,69.45,71.85
16051.0,55.71,94.02
16158.0,66.28,76.97
16265.0,65.74,77.83
16372.0,63.24,81.87
16479.0,65.75,77.82
16586.0,65.02,79.01
16693.0,70.25,70.56
16800.0,64.5,79.84
16907.0,71.23,68.99
17014.0,60.22,86.74
17121.0,67.52,74.97
17228.0,67.74,74.62
17335.0,63.46,81.51
17442.0,61.49,84.69
17549.0,66.51,76.6
17656.0,65.0,79.03
17763.0,66.72,76.26
17870.0,58.97,88.76
17977.0,63.78,81.01
18084.0,68.24,73.8
18191.0,60.72,85.94
18298.0,63.01,82.24
18405.0,66.51,76.6
18512.0,65.01,79.02
18619.0,68.49,73.4
18726.0,63.48,81.49
18833.0,64.99,79.06
18940.0,63.24,81.87
19047.0,65.76,77.81
19154.0,66.77,76.18
19261.0,69.49,71.8
19368.0,62.72,82.71
19475.0,64.99,79.04
19582.0,65.01,79.02
19689.0,68.51,73.37
19796.0,66.99,75.83
19903.0,65.23,78.67
20010.0,64.23,80.28
20117.0,63.22,81.9
20224.0,60.49,86.3
20331.0,65.54,78.16
20438.0,70.99,69.36
20545.0,60.96,85.55
20652.0,64.0,80.64
20759.0,65.75,77.82
20866.0,65.01,79.02
20973.0,68.51,73.37
21080.0,66.97,75.85
21187.0,61.73,84.31
21294.0,65.76,77.81
21401.0,66.76,76.19
21508.0,67.76,74.58
21615.0,68.72,73.03
21722.0,60.98,85.52
21829.0,67.52,74.97
21936.0,67.74,74.61
22043.0,65.24,78.65
22150.0,65.99,77.44
22257.0,64.24,80.25
22364.0,66.76,76.19
22471.0,67.76,74.58
22578.0,68.75,72.98
22685.0,67.98,74.23
22792.0,64.48,79.86
22899.0,67.74,74.62
23006.0,63.49,81.46
23113.0,68.49,73.4
23220.0,63.47,81.5
23327.0,63.25,81.85
23434.0,67.52,74.97
23541.0,67.74,74.62
23648.0,63.48,81.48
23755.0,66.74,76.22
23862.0,64.26,80.23
23969.0,70.24,70.59
24076.0,60.96,85.55
24183.0,64.0,80.64
24290.0,65.76,77.81
24397.0,66.77,76.18
24504.0,69.52,71.75
24611.0,69.75,71.37
24718.0,68.97,72.63
24825.0,63.72,81.1
24932.0,66.01,77.4
25039.0,69.49,71.78
25146.0,64.48,79.88
25253.0,65.99,77.43
25360.0,65.98,77.46
25467.0,62.47,83.11
25574.0,62.26,83.45
25681.0,68.28,73.74
25788.0,69.5,71.77
25895.0,66.23,77.05
26002.0,65.21,78.69
26109.0,60.76,85.87
26216.0,71.76,68.13
26323.0,62.74,82.67
26430.0,70.22,70.61
