Time (ms),Distance (mm),Brake Position (%)
6727.0,66.0,77.42
6834.0,70.0,70.97
6941.0,70.0,70.97
7048.0,70.0,70.97
7155.0,67.0,75.81
7262.0,67.0,75.81
7369.0,69.0,72.58
7476.0,66.0,77.42
7583.0,66.0,77.42
7690.0,63.0,82.26
7797.0,66.0,77.42
7904.0,66.0,77.42
8011.0,66.0,77.42
8118.0,67.0,75.81
8225.0,68.0,74.19
8332.0,70.0,70.97
8439.0,68.0,74.19
8546.0,66.0,77.42
8653.0,66.0,77.42
8760.0,67.0,75.81
8867.0,67.0,75.81
8974.0,68.0,74.19
9081.0,65.0,79.03
9188.0,64.0,80.65
9295.0,67.0,75.81
9402.0,68.0,74.19
9509.0,67.0,75.81
9616.0,71.0,69.35
9723.0,68.0,74.19
9830.0,66.0,77.42
9937.0,62.0,83.87
10044.0,69.0,72.58
10151.0,69.0,72.58
10258.0,66.0,77.42
10365.0,69.0,72.58
10472.0,67.0,75.81
10579.0,68.0,74.19
10686.0,71.0,69.35
10793.0,69.0,72.58
10900.0,68.0,74.19
11007.0,66.0,77.42
11114.0,68.0,74.19
11221.0,63.0,82.26
11328.0,70.0,70.97
11435.0,67.0,75.81
11542.0,68.0,74.19
11649.0,65.0,79.03
11756.0,69.0,72.58
11863.0,68.0,74.19
11970.0,67.0,75.81
12077.0,68.0,74.19
12184.0,66.0,77.42
12291.0,67.0,75.81
12398.0,65.0,79.03
12505.0,67.0,75.81
12612.0,67.0,75.81
12719.0,69.0,72.58
12826.0,70.0,70.97
12933.0,65.0,79.03
13040.0,66.0,77.42
13147.0,69.0,72.58
13254.0,64.0,80.65
13361.0,63.0,82.26
13468.0,66.0,77.42
13575.0,64.0,80.65
13682.0,66.0,77.42
13789.0,67.0,75.81
13896.0,64.0,80.65
14003.0,69.0,72.58
14110.0,70.0,70.97
14217.0,64.0,80.65
14324.0,67.0,75.81
14431.0,65.0,79.03
14538.0,64.0,80.65
14645.0,71.0,69.35
14752.0,67.0,75.81
14859.0,67.0,75.81
14966.0,69.0,72.58
15073.0,69.0,72.58
15180.0,65.0,79.03
15287.0,68.0,74.19
15394.0,70.0,70.97
15501.0,69.0,72.58
15608.0,69.0,72.58
15715.0,72.0,67.74
15822.0,65.0,79.03
15929.0,66.0,77.42
16036.0,71.0,69.35
16143.0,68.0,74.19
16250.0,65.0,79.03
16357.0,68.0,74.19
16464.0,66.0,77.42
16571.0,68.0,74.19
16678.0,69.0,72.58
16785.0,71.0,69.35
16892.0,64.0,80.65
16999.0,70.0,70.97
17106.0,69.0,72.58
17213.0,68.0,74.19
17320.0,64.0,80.65
17427.0,69.0,72.58
17534.0,66.0,77.42
17641.0,67.0,75.81
17748.0,67.0,75.81
17855.0,68.0,74.19
17962.0,65.0,79.03
18069.0,66.0,77.42
18176.0,68.0,74.19
18283.0,68.0,74.19
18390.0,64.0,80.65
18497.0,69.0,72.58
18604.0,67.0,75.81
18711.0,70.0,70.97
18818.0,69.0,72.58
18925.0,65.0,79.03
19032.0,66.0,77.42
19139.0,68.0,74.19
19246.0,73.0,66.13
19353.0,67.0,75.81
19460.0,70.0,70.97
19567.0,68.0,74.19
19674.0,68.0,74.19
