Time (ms),Distance (mm),Brake Position (%)
0,65.0,79.03
107,67.0,75.81
214,62.0,83.87
321,66.0,77.42
428,70.0,70.97
535,64.0,80.65
642,65.0,79.03
749,64.0,80.65
856,68.0,74.19
963,64.0,80.65
1070,65.0,79.03
1177,61.0,85.48
1284,65.0,79.03
1391,67.0,75.81
1498,67.0,75.81
1605,63.0,82.26
1712,63.0,82.26
1819,65.0,79.03
1926,68.0,74.19
2033,65.0,79.03
2140,66.0,77.42
2247,63.0,82.26
2354,66.0,77.42
2461,65.0,79.03
2568,63.0,82.26
2675,66.0,77.42
2782,66.0,77.42
2889,65.0,79.03
2996,63.0,82.26
3103,64.0,80.65
3210,65.0,79.03
3317,65.0,79.03
3424,67.0,75.81
3531,65.0,79.03
3638,67.0,75.81
3745,65.0,79.03
3852,63.0,82.26
3959,61.0,85.48
4066,61.0,85.48
4173,65.0,79.03
4280,64.0,80.65
4387,68.0,74.19
4494,65.0,79.03
4601,64.0,80.65
4708,63.0,82.26
4815,62.0,83.87
4922,67.0,75.81
5029,66.0,77.42
5136,67.0,75.81
5243,65.0,79.03
5350,68.0,74.19
5457,68.0,74.19
5564,67.0,75.81
5671,64.0,80.65
5778,64.0,80.65
5885,62.0,83.87
5992,63.0,82.26
6099,63.0,82.26
6206,64.0,80.65
6313,66.0,77.42
6420,63.0,82.26
6527,65.0,79.03
6634,63.0,82.26
6741,71.0,69.35
6848,64.0,80.65
6955,67.0,75.81
7062,67.0,75.81
7169,63.0,82.26
7276,62.0,83.87
7383,67.0,75.81
7490,64.0,80.65
7597,65.0,79.03
7704,64.0,80.65
7811,68.0,74.19
7918,64.0,80.65
8025,65.0,79.03
8132,65.0,79.03
8239,61.0,85.48
8346,65.0,79.03
8453,61.0,85.48
8560,62.0,83.87
8667,62.0,83.87
8774,65.0,79.03
8881,65.0,79.03
8988,63.0,82.26
9095,64.0,80.65
9202,64.0,80.65
9309,63.0,82.26
9416,64.0,80.65
9523,64.0,80.65
9630,65.0,79.03
9737,66.0,77.42
9844,64.0,80.65
9951,63.0,82.26
10058,67.0,75.81
10165,60.0,87.1
10272,64.0,80.65
10379,66.0,77.42
10486,68.0,74.19
10593,63.0,82.26
10700,65.0,79.03
10807,65.0,79.03
10914,65.0,79.03
11021,61.0,85.48
11128,66.0,77.42
11235,67.0,75.81
11342,63.0,82.26
11449,62.0,83.87
11556,69.0,72.58
11663,65.0,79.03
11770,68.0,74.19
11877,63.0,82.26
11984,64.0,80.65
12091,64.0,80.65
12198,65.0,79.03
12305,68.0,74.19
12412,61.0,85.48
12519,64.0,80.65
12626,66.0,77.42
12733,65.0,79.03
12840,66.0,77.42
12947,65.0,79.03
13054,65.0,79.03
13161,63.0,82.26
13268,63.0,82.26
13375,64.0,80.65
13482,68.0,74.19
13589,65.0,79.03
13696,64.0,80.65
13803,62.0,83.87
13910,65.0,79.03
14017,65.0,79.03
14124,65.0,79.03
14231,68.0,74.19
14338,64.0,80.65
14445,66.0,77.42
14552,64.0,80.65
14659,66.0,77.42
14766,63.0,82.26
14873,64.0,80.65
14980,65.0,79.03
15087,63.0,82.26
15194,63.0,82.26
15301,66.0,77.42
15408,67.0,75.81
15515,65.0,79.03
15622,66.0,77.42
15729,64.0,80.65
15836,67.0,75.81
15943,63.0,82.26
16050,67.0,75.81
16157,67.0,75.81
16264,65.0,79.03
16371,62.0,83.87
16478,65.0,79.03
16585,67.0,75.81
16692,65.0,79.03
16799,63.0,82.26
16906,65.0,79.03
17013,68.0,74.19
17120,63.0,82.26
17227,66.0,77.42
17334,65.0,79.03
17441,70.0,70.97
17548,62.0,83.87
17655,64.0,80.65
17762,66.0,77.42
17869,60.0,87.1
