Time (ms),Distance (mm),Brake Position (%)
0.0,68.62,73.2
107.0,68.57,73.27
214.0,68.61,73.21
321.0,68.57,73.28
428.0,68.49,73.4
535.0,68.45,73.47
642.0,68.49,73.4
749.0,68.48,73.42
856.0,68.46,73.44
963.0,68.42,73.51
1070.0,68.41,73.53
1177.0,68.31,73.69
1284.0,68.27,73.75
1391.0,68.26,73.77
1498.0,68.26,73.78
1605.0,68.22,73.84
1712.0,68.27,73.76
1819.0,68.29,73.72
1926.0,68.26,73.78
2033.0,68.31,73.7
2140.0,68.24,73.81
2247.0,68.17,73.91
2354.0,68.23,73.83
2461.0,68.22,73.84
2568.0,68.24,73.8
2675.0,68.21,73.86
2782.0,68.29,73.73
2889.0,68.31,73.7
2996.0,68.33,73.66
3103.0,68.23,73.82
3210.0,68.2,73.88
3317.0,68.19,73.89
3424.0,68.13,73.99
3531.0,68.18,73.9
3638.0,68.29,73.72
3745.0,68.4,73.55
3852.0,68.39,73.57
3959.0,68.35,73.63
4066.0,68.31,73.7
4173.0,68.39,73.57
4280.0,68.38,73.59
4387.0,68.34,73.65
4494.0,68.38,73.57
4601.0,68.34,73.64
4708.0,68.33,73.65
4815.0,68.27,73.76
4922.0,68.2,73.87
5029.0,68.31,73.69
5136.0,68.24,73.8
5243.0,68.29,73.72
5350.0,68.23,73.83
5457.0,68.22,73.84
5564.0,68.27,73.75
5671.0,68.27,73.77
5778.0,68.32,73.68
5885.0,68.34,73.65
5992.0,68.33,73.67
6099.0,68.37,73.59
6206.0,68.33,73.65
6313.0,68.35,73.62
6420.0,68.37,73.59
6527.0,68.33,73.66
6634.0,68.32,73.67
6741.0,68.37,73.59
6848.0,68.39,73.56
6955.0,68.44,73.49
7062.0,68.42,73.51
7169.0,68.35,73.62
7276.0,68.4,73.55
34347.0,67.61,74.83
34454.0,67.56,74.9
34561.0,67.51,74.98
34668.0,67.5,75.0
34775.0,67.51,74.98
34882.0,67.47,75.05
34989.0,67.37,75.21
35096.0,67.39,75.18
35203.0,67.41,75.15
35310.0,67.42,75.12
35417.0,67.41,75.14
35524.0,67.4,75.16
35631.0,67.33,75.28
35738.0,67.29,75.34
35845.0,67.22,75.45
35952.0,67.25,75.41
36059.0,67.18,75.52
36166.0,67.12,75.62
36273.0,67.11,75.62
36380.0,67.05,75.72
36487.0,67.11,75.63
36594.0,67.02,75.78
36701.0,67.02,75.78
36808.0,66.93,75.92
36915.0,66.99,75.82
37022.0,66.9,75.96
37129.0,66.91,75.96
37236.0,66.97,75.86
37343.0,67.08,75.67
37450.0,67.14,75.58
37557.0,67.14,75.59
37664.0,67.13,75.59
37771.0,67.13,75.6
37878.0,67.18,75.51
37985.0,67.26,75.38
38092.0,67.29,75.34
38199.0,67.37,75.22
38306.0,67.41,75.14
38413.0,67.37,75.21
38520.0,67.42,75.13
38627.0,67.35,75.24
38734.0,67.34,75.26
38841.0,67.27,75.37
38948.0,67.2,75.48
39055.0,67.2,75.49
39162.0,67.16,75.54
39269.0,67.19,75.5
39376.0,67.24,75.42
39483.0,67.29,75.34
39590.0,67.34,75.26
39697.0,67.33,75.27
39804.0,67.38,75.19
39911.0,67.34,75.26
40018.0,67.39,75.18
40125.0,67.41,75.15
40232.0,67.42,75.12
40339.0,67.38,75.19
40446.0,67.46,75.07
40553.0,67.5,74.99
40660.0,67.52,74.97
40767.0,67.42,75.14
40874.0,67.37,75.2
40981.0,67.39,75.17
41088.0,67.41,75.15
41195.0,67.46,75.07
41302.0,67.47,75.05
41409.0,67.43,75.11
41516.0,67.56,74.9
41623.0,67.55,74.93
41730.0,67.59,74.86
41837.0,67.63,74.79
41944.0,67.7,74.68
42051.0,67.71,74.67
42158.0,67.72,74.65
42265.0,67.72,74.64
42372.0,67.73,74.63
42479.0,67.74,74.61
42586.0,67.78,74.55
42693.0,67.72,74.64
42800.0,67.65,74.77
42907.0,67.66,74.75
43014.0,67.64,74.78
43121.0,67.59,74.86
