Time (ms),Distance (mm),Brake Position (%)
0.0,48.43,100.0
107.0,48.97,100.0
214.0,49.5,100.0
321.0,50.09,100.0
428.0,50.67,100.0
535.0,51.24,100.0
642.0,51.75,100.0
749.0,52.23,99.64
856.0,52.71,98.85
963.0,53.16,98.13
1070.0,53.53,97.53
1177.0,53.93,96.89
1284.0,54.37,96.19
1391.0,54.82,95.45
1498.0,55.23,94.78
1605.0,55.63,94.14
1712.0,56.05,93.46
1819.0,56.4,92.9
1926.0,56.71,92.4
2033.0,57.07,91.83
2140.0,57.39,91.31
2247.0,57.7,90.81
2354.0,58.05,90.24
2461.0,58.37,89.72
2568.0,58.68,89.22
2675.0,59.04,88.64
2782.0,59.3,88.22
2889.0,59.58,87.77
2996.0,59.86,87.33
3103.0,60.12,86.9
3210.0,60.32,86.57
3317.0,60.58,86.17
3424.0,60.79,85.82
3531.0,61.03,85.43
3638.0,61.26,85.06
3745.0,61.52,84.65
3852.0,61.71,84.34
3959.0,61.95,83.95
4066.0,62.1,83.72
4173.0,62.24,83.48
4280.0,62.49,83.07
4387.0,62.63,82.86
4494.0,62.78,82.61
4601.0,62.93,82.36
4708.0,63.17,81.99
4815.0,63.28,81.81
4922.0,63.39,81.63
5029.0,63.49,81.46
5136.0,63.71,81.11
5243.0,63.9,80.81
5350.0,64.1,80.48
5457.0,64.19,80.34
5564.0,64.27,80.21
5671.0,64.32,80.13
5778.0,64.43,79.96
5885.0,64.47,79.88
5992.0,64.58,79.72
6099.0,64.7,79.51
6206.0,64.86,79.26
6313.0,64.95,79.11
6420.0,65.01,79.02
6527.0,65.21,78.69
6634.0,65.35,78.46
6741.0,65.4,78.39
6848.0,65.39,78.4
6955.0,65.49,78.24
7062.0,65.6,78.07
7169.0,65.64,78.0
7276.0,65.79,77.75
7383.0,65.92,77.55
7490.0,66.01,77.41
7597.0,66.09,77.27
7704.0,66.12,77.23
7811.0,66.23,77.04
7918.0,66.28,76.96
8025.0,66.3,76.93
8132.0,66.32,76.9
8239.0,66.37,76.82
8346.0,66.42,76.74
8453.0,66.5,76.62
8560.0,66.6,76.45
8667.0,66.7,76.29
8774.0,66.76,76.19
8881.0,66.83,76.08
8988.0,66.95,75.89
9095.0,66.92,75.93
9202.0,66.98,75.83
9309.0,66.98,75.83
9416.0,66.9,75.97
9523.0,66.84,76.06
9630.0,66.82,76.1
9737.0,66.74,76.23
9844.0,66.8,76.13
9951.0,66.84,76.07
10058.0,66.87,76.02
10165.0,66.87,76.01
10272.0,66.88,76.0
10379.0,66.82,76.09
10486.0,66.94,75.9
10593.0,67.0,75.8
10700.0,67.06,75.71
10807.0,67.06,75.71
10914.0,67.09,75.66
11021.0,67.14,75.57
11128.0,67.17,75.53
11235.0,67.25,75.4
11342.0,67.24,75.41
11449.0,67.18,75.52
11556.0,67.14,75.57
11663.0,67.14,75.58
11770.0,67.14,75.59
11877.0,67.13,75.59
11984.0,67.07,75.69
12091.0,67.18,75.51
12198.0,67.27,75.38
12305.0,67.23,75.44
12412.0,67.22,75.45
12519.0,67.19,75.5
12626.0,67.15,75.56
12733.0,67.15,75.57
12840.0,67.17,75.53
12947.0,67.11,75.63
13054.0,67.05,75.73
13161.0,67.05,75.73
13268.0,66.99,75.83
13375.0,66.93,75.92
13482.0,66.96,75.87
13589.0,66.96,75.87
13696.0,66.99,75.82
13803.0,66.99,75.82
13910.0,67.05,75.72
14017.0,67.02,75.77
14124.0,67.02,75.78
14231.0,67.02,75.78
14338.0,66.93,75.92
14445.0,66.87,76.01
14552.0,66.99,75.81
14659.0,66.94,75.91
14766.0,66.91,75.95
14873.0,66.88,76.0
14980.0,66.89,75.99
15087.0,66.83,76.08
15194.0,66.81,76.12
15301.0,66.81,76.11
15408.0,66.85,76.05
15515.0,66.76,76.19
15622.0,66.71,76.27
15729.0,66.78,76.16
15836.0,66.79,76.15
15943.0,66.85,76.05
16050.0,66.8,76.13
16157.0,66.74,76.22
16264.0,66.72,76.25
16371.0,66.7,76.29
16478.0,66.74,76.23
16585.0,66.75,76.21
16692.0,66.7,76.3
16799.0,66.68,76.33
16906.0,66.66,76.36
17013.0,66.67,76.34
17120.0,66.59,76.47
17227.0,66.54,76.54
17334.0,66.56,76.52
17441.0,66.51,76.6
17548.0,66.52,76.57
17655.0,66.51,76.6
17762.0,66.55,76.53
17869.0,66.54,76.55
17976.0,66.64,76.39
18083.0,66.62,76.42
18190.0,66.57,76.5
18297.0,66.61,76.43
18404.0,66.57,76.51
18511.0,66.52,76.58
18618.0,66.53,76.56
18725.0,66.55,76.54
18832.0,66.53,76.56
18939.0,66.6,76.44
19046.0,66.53,76.57
19153.0,66.45,76.69
19260.0,66.47,76.66
19367.0,66.43,76.73
19474.0,66.47,76.66
19581.0,66.43,76.72
19688.0,66.48,76.65
19795.0,66.49,76.63
19902.0,66.51,76.6
20009.0,66.49,76.63
20116.0,66.48,76.65
20223.0,66.49,76.62
20330.0,66.59,76.46
20437.0,66.55,76.54
20544.0,66.56,76.51
20651.0,66.6,76.45
20758.0,66.61,76.43
20865.0,66.66,76.36
20972.0,66.64,76.39
21079.0,66.65,76.38
21186.0,66.63,76.41
21293.0,66.55,76.53
21400.0,66.48,76.65
21507.0,66.43,76.72
21614.0,66.48,76.65
21721.0,66.47,76.67
21828.0,66.45,76.69
21935.0,66.53,76.57
22042.0,66.6,76.45
22149.0,66.58,76.48
22256.0,66.53,76.56
22363.0,66.49,76.63
22470.0,66.48,76.65
22577.0,66.46,76.67
22684.0,66.54,76.55
22791.0,66.49,76.63
22898.0,66.56,76.51
23005.0,66.64,76.39
23112.0,66.65,76.38
23219.0,66.69,76.31
23326.0,66.69,76.3
23433.0,66.67,76.33
23540.0,66.65,76.36
23647.0,66.64,76.39
23754.0,66.62,76.42
23861.0,66.54,76.55
23968.0,66.53,76.57
24075.0,66.48,76.64
24182.0,66.47,76.67
24289.0,66.39,76.78
24396.0,66.33,76.9
24503.0,66.32,76.91
24610.0,66.31,76.93
24717.0,66.38,76.8
24824.0,66.32,76.91
24931.0,66.28,76.97
25038.0,66.15,77.17
25145.0,66.18,77.13
25252.0,66.06,77.33
25359.0,65.97,77.47
25466.0,65.97,77.47
25573.0,65.94,77.52
25680.0,65.91,77.56
25787.0,65.83,77.7
25894.0,65.77,77.78
26001.0,65.69,77.91
26108.0,65.64,77.99
26215.0,65.68,77.93
26322.0,65.63,78.01
26429.0,65.56,78.13
26536.0,65.63,78.02
26643.0,65.67,77.95
26750.0,65.65,77.99
26857.0,65.66,77.97
26964.0,65.64,78.0
27071.0,65.56,78.12
27178.0,65.58,78.1
27285.0,65.53,78.18
27392.0,65.57,78.11
27499.0,65.47,78.28
27606.0,65.37,78.44
27713.0,65.27,78.6
27820.0,65.2,78.7
27927.0,65.11,78.85
28034.0,65.05,78.95
28141.0,65.05,78.96
28248.0,65.13,78.82
28355.0,65.07,78.92
28462.0,65.16,78.78
28569.0,65.18,78.74
28676.0,65.26,78.61
28783.0,65.26,78.62
28890.0,65.19,78.73
28997.0,65.18,78.73
29104.0,65.15,78.79
29211.0,65.15,78.8
29318.0,65.2,78.71
29425.0,65.19,78.72
29532.0,65.19,78.73
29639.0,65.18,78.74
29746.0,65.21,78.7
29853.0,65.23,78.66
29960.0,65.19,78.72
30067.0,65.22,78.68
30174.0,65.3,78.55
30281.0,65.29,78.57
30388.0,65.19,78.72
30495.0,65.19,78.73
30602.0,65.18,78.74
30709.0,65.18,78.75
30816.0,65.08,78.9
30923.0,65.05,78.95
31030.0,65.05,78.95
31137.0,64.93,79.14
31244.0,64.88,79.23
31351.0,64.82,79.32
31458.0,64.77,79.4
31565.0,64.75,79.44
31672.0,64.87,79.24
31779.0,64.9,79.19
31886.0,64.94,79.14
31993.0,64.88,79.23
32100.0,64.88,79.22
32207.0,64.92,79.17
32314.0,64.98,79.07
32421.0,65.06,78.93
32528.0,65.18,78.74
32635.0,65.2,78.71
32742.0,65.2,78.71
32849.0,65.25,78.63
32956.0,65.3,78.55
33063.0,65.35,78.47
33170.0,65.43,78.34
33277.0,65.47,78.27
33384.0,65.6,78.06
33491.0,65.7,77.9
33598.0,65.77,77.79
33705.0,65.78,77.78
33812.0,65.7,77.91
33919.0,65.85,77.66
34026.0,65.94,77.51
34133.0,65.92,77.56
34240.0,65.86,77.65
34347.0,65.89,77.59
34454.0,65.92,77.54
34561.0,66.01,77.4
34668.0,66.19,77.12
34775.0,66.24,77.03
34882.0,66.32,76.9
34989.0,66.37,76.82
35096.0,66.36,76.84
35203.0,66.38,76.81
35310.0,66.4,76.78
35417.0,66.41,76.75
35524.0,66.58,76.49
35631.0,66.65,76.38
35738.0,66.66,76.36
35845.0,66.73,76.25
35952.0,66.73,76.24
36059.0,66.77,76.18
36166.0,66.81,76.12
36273.0,66.84,76.06
36380.0,66.88,76.01
36487.0,66.79,76.14
36594.0,66.77,76.18
36701.0,66.75,76.22
36808.0,66.78,76.16
36915.0,66.85,76.05
37022.0,66.91,75.95
37129.0,66.91,75.95
37236.0,66.94,75.9
37343.0,67.06,75.71
37450.0,67.06,75.71
37557.0,66.97,75.85
37664.0,66.97,75.85
37771.0,66.91,75.94
37878.0,66.92,75.94
37985.0,66.95,75.89
38092.0,66.98,75.84
38199.0,66.98,75.84
38306.0,66.98,75.84
38413.0,66.92,75.93
38520.0,66.95,75.88
38627.0,66.98,75.83
38734.0,67.01,75.78
38841.0,66.98,75.83
38948.0,66.96,75.88
39055.0,66.96,75.88
39162.0,67.08,75.69
39269.0,67.13,75.59
39376.0,67.19,75.51
39483.0,67.21,75.47
39590.0,67.23,75.43
39697.0,67.25,75.4
39804.0,67.22,75.45
39911.0,67.18,75.51
40018.0,67.21,75.47
40125.0,67.17,75.53
40232.0,67.05,75.73
40339.0,67.02,75.78
40446.0,66.99,75.82
40553.0,66.99,75.82
40660.0,66.99,75.82
40767.0,66.93,75.92
40874.0,66.96,75.87
40981.0,67.05,75.72
41088.0,66.96,75.87
41195.0,66.91,75.96
41302.0,66.82,76.1
41409.0,66.88,75.99
41516.0,66.89,75.99
41623.0,66.8,76.12
41730.0,66.78,76.16
41837.0,66.84,76.06
41944.0,66.82,76.1
42051.0,66.77,76.18
42158.0,66.77,76.17
42265.0,66.9,75.97
42372.0,66.96,75.87
42479.0,66.93,75.92
42586.0,67.08,75.68
42693.0,67.05,75.73
42800.0,67.02,75.78
42907.0,67.04,75.73
43014.0,66.96,75.88
43121.0,66.99,75.83
43228.0,67.02,75.78
43335.0,67.04,75.73
43442.0,67.16,75.55
43549.0,67.16,75.56
43656.0,67.35,75.23
43763.0,67.32,75.3
43870.0,67.36,75.22
43977.0,67.32,75.28
44084.0,67.37,75.2
44191.0,67.42,75.13
44298.0,67.41,75.15
44405.0,67.48,75.03
44512.0,67.53,74.95
44619.0,67.51,74.98
44726.0,67.53,74.96
44833.0,67.57,74.89
44940.0,67.55,74.91
45047.0,67.6,74.85
45154.0,67.46,75.06
45261.0,67.48,75.04
45368.0,67.49,75.01
45475.0,67.51,74.99
45582.0,67.55,74.92
45689.0,67.45,75.08
45796.0,67.43,75.11
45903.0,67.33,75.27
46010.0,67.32,75.28
46117.0,67.29,75.35
46224.0,67.31,75.31
46331.0,67.24,75.42
46438.0,67.29,75.34
46545.0,67.4,75.16
46652.0,67.36,75.23
46759.0,67.35,75.25
46866.0,67.4,75.17
46973.0,67.36,75.23
47080.0,67.32,75.3
47187.0,67.39,75.17
47294.0,67.27,75.38
47401.0,67.32,75.3
47508.0,67.37,75.22
47615.0,67.38,75.19
47722.0,67.31,75.3
47829.0,67.31,75.31
47936.0,67.24,75.42
