Time (ms),Distance (mm),Brake Position (%)
0.0,66.0,77.42
107.0,70.0,70.97
214.0,70.0,70.97
321.0,70.0,70.97
428.0,67.0,75.81
535.0,67.0,75.81
642.0,69.0,72.58
749.0,66.0,77.42
856.0,66.0,77.42
963.0,63.0,82.26
1070.0,66.0,77.42
1177.0,66.0,77.42
1284.0,66.0,77.42
1391.0,67.0,75.81
1498.0,68.0,74.19
1605.0,70.0,70.97
1712.0,68.0,74.19
1819.0,66.0,77.42
1926.0,66.0,77.42
2033.0,67.0,75.81
2140.0,67.0,75.81
2247.0,68.0,74.19
2354.0,65.0,79.03
2461.0,64.0,80.65
2568.0,67.0,75.81
2675.0,68.0,74.19
2782.0,67.0,75.81
2889.0,71.0,69.35
2996.0,68.0,74.19
3103.0,66.0,77.42
3210.0,62.0,83.87
3317.0,69.0,72.58
3424.0,69.0,72.58
3531.0,66.0,77.42
3638.0,69.0,72.58
3745.0,67.0,75.81
3852.0,68.0,74.19
3959.0,71.0,69.35
4066.0,69.0,72.58
4173.0,68.0,74.19
4280.0,66.0,77.42
4387.0,68.0,74.19
4494.0,63.0,82.26
4601.0,70.0,70.97
4708.0,67.0,75.81
4815.0,68.0,74.19
4922.0,65.0,79.03
5029.0,69.0,72.58
5136.0,68.0,74.19
5243.0,67.0,75.81
5350.0,68.0,74.19
5457.0,66.0,77.42
5564.0,67.0,75.81
5671.0,65.0,79.03
5778.0,67.0,75.81
5885.0,67.0,75.81
5992.0,69.0,72.58
6099.0,70.0,70.97
6206.0,65.0,79.03
6313.0,66.0,77.42
6420.0,69.0,72.58
6527.0,64.0,80.65
6634.0,63.0,82.26
6741.0,66.0,77.42
6848.0,64.0,80.65
6955.0,66.0,77.42
7062.0,67.0,75.81
7169.0,64.0,80.65
7276.0,69.0,72.58
7383.0,70.0,70.97
7490.0,64.0,80.65
7597.0,67.0,75.81
7704.0,65.0,79.03
7811.0,64.0,80.65
7918.0,71.0,69.35
8025.0,67.0,75.81
8132.0,67.0,75.81
8239.0,69.0,72.58
8346.0,69.0,72.58
8453.0,65.0,79.03
8560.0,68.0,74.19
8667.0,70.0,70.97
8774.0,69.0,72.58
8881.0,69.0,72.58
8988.0,72.0,67.74
9095.0,65.0,79.03
9202.0,66.0,77.42
9309.0,71.0,69.35
9416.0,68.0,74.19
9523.0,65.0,79.03
9630.0,68.0,74.19
9737.0,66.0,77.42
9844.0,68.0,74.19
9951.0,69.0,72.58
10058.0,71.0,69.35
10165.0,64.0,80.65
10272.0,70.0,70.97
10379.0,69.0,72.58
10486.0,68.0,74.19
10593.0,64.0,80.65
10700.0,69.0,72.58
10807.0,66.0,77.42
10914.0,67.0,75.81
11021.0,67.0,75.81
11128.0,68.0,74.19
11235.0,65.0,79.03
11342.0,66.0,77.42
11449.0,68.0,74.19
11556.0,68.0,74.19
11663.0,64.0,80.65
11770.0,69.0,72.58
11877.0,67.0,75.81
11984.0,70.0,70.97
12091.0,69.0,72.58
12198.0,65.0,79.03
12305.0,66.0,77.42
12412.0,68.0,74.19
12519.0,73.0,66.13
12626.0,67.0,75.81
12733.0,70.0,70.97
12840.0,68.0,74.19
12947.0,68.0,74.19
13054.0,69.0,72.58
13161.0,64.0,80.65
13268.0,68.0,74.19
13375.0,68.0,74.19
13482.0,64.0,80.65
13589.0,67.0,75.81
13696.0,64.0,80.65
13803.0,65.0,79.03
13910.0,68.0,74.19
14017.0,67.0,75.81
14124.0,65.0,79.03
14231.0,66.0,77.42
14338.0,64.0,80.65
14445.0,66.0,77.42
14552.0,66.0,77.42
14659.0,68.0,74.19
14766.0,68.0,74.19
14873.0,70.0,70.97
14980.0,65.0,79.03
15087.0,66.0,77.42
15194.0,66.0,77.42
15301.0,68.0,74.19
15408.0,66.0,77.42
15515.0,66.0,77.42
15622.0,68.0,74.19
15729.0,67.0,75.81
15836.0,69.0,72.58
15943.0,66.0,77.42
16050.0,70.0,70.97
16157.0,66.0,77.42
16264.0,65.0,79.03
16371.0,68.0,74.19
16478.0,67.0,75.81
16585.0,68.0,74.19
16692.0,65.0,79.03
16799.0,70.0,70.97
16906.0,71.0,69.35
17013.0,67.0,75.81
17120.0,70.0,70.97
17227.0,68.0,74.19
17334.0,67.0,75.81
17441.0,69.0,72.58
17548.0,66.0,77.42
17655.0,68.0,74.19
17762.0,66.0,77.42
17869.0,66.0,77.42
17976.0,66.0,77.42
18083.0,67.0,75.81
18190.0,68.0,74.19
18297.0,70.0,70.97
18404.0,65.0,79.03
18511.0,68.0,74.19
18618.0,66.0,77.42
18725.0,68.0,74.19
18832.0,67.0,75.81
18939.0,68.0,74.19
19046.0,64.0,80.65
19153.0,66.0,77.42
19260.0,62.0,83.87
19367.0,67.0,75.81
19474.0,68.0,74.19
19581.0,66.0,77.42
19688.0,68.0,74.19
19795.0,66.0,77.42
19902.0,67.0,75.81
20009.0,66.0,77.42
20116.0,68.0,74.19
20223.0,68.0,74.19
20330.0,71.0,69.35
20437.0,67.0,75.81
20544.0,67.0,75.81
20651.0,66.0,77.42
20758.0,70.0,70.97
20865.0,68.0,74.19
20972.0,65.0,79.03
21079.0,69.0,72.58
21186.0,66.0,77.42
21293.0,66.0,77.42
21400.0,68.0,74.19
21507.0,68.0,74.19
21614.0,67.0,75.81
21721.0,64.0,80.65
21828.0,69.0,72.58
21935.0,65.0,79.03
22042.0,68.0,74.19
22149.0,66.0,77.42
22256.0,67.0,75.81
22363.0,66.0,77.42
22470.0,66.0,77.42
22577.0,65.0,79.03
22684.0,64.0,80.65
22791.0,66.0,77.42
22898.0,66.0,77.42
23005.0,67.0,75.81
23112.0,67.0,75.81
23219.0,70.0,70.97
23326.0,66.0,77.42
23433.0,72.0,67.74
23540.0,67.0,75.81
23647.0,72.0,67.74
23754.0,70.0,70.97
23861.0,68.0,74.19
23968.0,71.0,69.35
24075.0,68.0,74.19
24182.0,70.0,70.97
24289.0,67.0,75.81
24396.0,70.0,70.97
24503.0,71.0,69.35
24610.0,68.0,74.19
24717.0,67.0,75.81
24824.0,68.0,74.19
24931.0,70.0,70.97
25038.0,70.0,70.97
25145.0,73.0,66.13
25252.0,68.0,74.19
25359.0,64.0,80.65
25466.0,71.0,69.35
25573.0,68.0,74.19
25680.0,68.0,74.19
25787.0,66.0,77.42
25894.0,64.0,80.65
26001.0,70.0,70.97
26108.0,67.0,75.81
26215.0,69.0,72.58
26322.0,66.0,77.42
26429.0,65.0,79.03
26536.0,68.0,74.19
26643.0,67.0,75.81
26750.0,67.0,75.81
26857.0,69.0,72.58
26964.0,71.0,69.35
27071.0,65.0,79.03
27178.0,67.0,75.81
27285.0,68.0,74.19
27392.0,67.0,75.81
27499.0,67.0,75.81
27606.0,71.0,69.35
27713.0,67.0,75.81
27820.0,70.0,70.97
27927.0,70.0,70.97
28034.0,66.0,77.42
28141.0,68.0,74.19
28248.0,65.0,79.03
28355.0,68.0,74.19
28462.0,66.0,77.42
28569.0,69.0,72.58
28676.0,66.0,77.42
28783.0,68.0,74.19
28890.0,64.0,80.65
28997.0,66.0,77.42
29104.0,67.0,75.81
29211.0,66.0,77.42
29318.0,71.0,69.35
29425.0,67.0,75.81
29532.0,66.0,77.42
29639.0,66.0,77.42
29746.0,66.0,77.42
29853.0,69.0,72.58
29960.0,70.0,70.97
30067.0,64.0,80.65
30174.0,67.0,75.81
30281.0,66.0,77.42
30388.0,68.0,74.19
30495.0,68.0,74.19
30602.0,68.0,74.19
30709.0,70.0,70.97
30816.0,68.0,74.19
30923.0,67.0,75.81
31030.0,65.0,79.03
31137.0,69.0,72.58
31244.0,67.0,75.81
31351.0,68.0,74.19
31458.0,65.0,79.03
31565.0,66.0,77.42
31672.0,70.0,70.97
31779.0,70.0,70.97
31886.0,67.0,75.81
31993.0,67.0,75.81
32100.0,68.0,74.19
32207.0,71.0,69.35
32314.0,70.0,70.97
32421.0,66.0,77.42
32528.0,72.0,67.74
32635.0,68.0,74.19
32742.0,68.0,74.19
32849.0,72.0,67.74
32956.0,70.0,70.97
33063.0,70.0,70.97
33170.0,69.0,72.58
33277.0,68.0,74.19
33384.0,70.0,70.97
33491.0,65.0,79.03
33598.0,64.0,80.65
33705.0,67.0,75.81
33812.0,69.0,72.58
33919.0,69.0,72.58
34026.0,69.0,72.58
34133.0,70.0,70.97
34240.0,70.0,70.97
34347.0,66.0,77.42
34454.0,68.0,74.19
34561.0,68.0,74.19
34668.0,69.0,72.58
34775.0,69.0,72.58
34882.0,66.0,77.42
34989.0,69.0,72.58
35096.0,69.0,72.58
35203.0,67.0,75.81
35310.0,68.0,74.19
35417.0,68.0,74.19
35524.0,66.0,77.42
35631.0,69.0,72.58
35738.0,67.0,75.81
35845.0,69.0,72.58
35952.0,67.0,75.81
36059.0,68.0,74.19
36166.0,66.0,77.42
36273.0,67.0,75.81
36380.0,71.0,69.35
36487.0,71.0,69.35
36594.0,67.0,75.81
36701.0,70.0,70.97
36808.0,68.0,74.19
36915.0,69.0,72.58
37022.0,68.0,74.19
37129.0,68.0,74.19
37236.0,67.0,75.81
37343.0,65.0,79.03
37450.0,63.0,82.26
37557.0,67.0,75.81
37664.0,66.0,77.42
37771.0,66.0,77.42
37878.0,70.0,70.97
37985.0,67.0,75.81
38092.0,64.0,80.65
38199.0,70.0,70.97
38306.0,63.0,82.26
38413.0,67.0,75.81
38520.0,66.0,77.42
38627.0,68.0,74.19
38734.0,69.0,72.58
38841.0,67.0,75.81
38948.0,67.0,75.81
39055.0,68.0,74.19
39162.0,64.0,80.65
39269.0,64.0,80.65
39376.0,67.0,75.81
39483.0,66.0,77.42
39590.0,66.0,77.42
39697.0,64.0,80.65
39804.0,65.0,79.03
39911.0,65.0,79.03
40018.0,66.0,77.42
40125.0,63.0,82.26
40232.0,66.0,77.42
40339.0,68.0,74.19
40446.0,69.0,72.58
40553.0,70.0,70.97
40660.0,66.0,77.42
40767.0,69.0,72.58
40874.0,68.0,74.19
40981.0,67.0,75.81
41088.0,68.0,74.19
41195.0,71.0,69.35
41302.0,68.0,74.19
41409.0,69.0,72.58
41516.0,67.0,75.81
41623.0,66.0,77.42
41730.0,64.0,80.65
41837.0,65.0,79.03
41944.0,64.0,80.65
42051.0,63.0,82.26
42158.0,67.0,75.81
42265.0,66.0,77.42
42372.0,69.0,72.58
42479.0,67.0,75.81
42586.0,67.0,75.81
42693.0,66.0,77.42
42800.0,67.0,75.81
42907.0,67.0,75.81
43014.0,67.0,75.81
43121.0,65.0,79.03
43228.0,66.0,77.42
43335.0,68.0,74.19
43442.0,66.0,77.42
43549.0,70.0,70.97
43656.0,66.0,77.42
43763.0,66.0,77.42
43870.0,67.0,75.81
43977.0,69.0,72.58
44084.0,64.0,80.65
44191.0,67.0,75.81
44298.0,67.0,75.81
44405.0,64.0,80.65
44512.0,67.0,75.81
44619.0,67.0,75.81
44726.0,66.0,77.42
44833.0,65.0,79.03
44940.0,66.0,77.42
45047.0,66.0,77.42
45154.0,65.0,79.03
45261.0,66.0,77.42
45368.0,67.0,75.81
45475.0,68.0,74.19
45582.0,67.0,75.81
45689.0,66.0,77.42
45796.0,64.0,80.65
45903.0,66.0,77.42
46010.0,66.0,77.42
46117.0,67.0,75.81
46224.0,67.0,75.81
46331.0,66.0,77.42
46438.0,68.0,74.19
46545.0,69.0,72.58
46652.0,65.0,79.03
46759.0,70.0,70.97
46866.0,67.0,75.81
46973.0,64.0,80.65
47080.0,67.0,75.81
47187.0,64.0,80.65
47294.0,66.0,77.42
47401.0,64.0,80.65
47508.0,63.0,82.26
47615.0,64.0,80.65
47722.0,66.0,77.42
47829.0,68.0,74.19
47936.0,64.0,80.65
48043.0,64.0,80.65
48150.0,67.0,75.81
48257.0,67.0,75.81
48364.0,65.0,79.03
48471.0,64.0,80.65
48578.0,68.0,74.19
48685.0,65.0,79.03
48792.0,66.0,77.42
48899.0,62.0,83.87
49006.0,64.0,80.65
49113.0,64.0,80.65
49220.0,68.0,74.19
49327.0,67.0,75.81
49434.0,65.0,79.03
49541.0,67.0,75.81
49648.0,65.0,79.03
49755.0,64.0,80.65
49862.0,65.0,79.03
49969.0,68.0,74.19
50076.0,72.0,67.74
50183.0,66.0,77.42
50290.0,62.0,83.87
50397.0,66.0,77.42
50504.0,67.0,75.81
50611.0,66.0,77.42
50718.0,66.0,77.42
50825.0,62.0,83.87
50932.0,67.0,75.81
51039.0,64.0,80.65
51146.0,68.0,74.19
51253.0,65.0,79.03
51360.0,69.0,72.58
51467.0,65.0,79.03
51574.0,69.0,72.58
51681.0,67.0,75.81
51788.0,67.0,75.81
51895.0,66.0,77.42
52002.0,67.0,75.81
52109.0,68.0,74.19
52216.0,62.0,83.87
52323.0,65.0,79.03
52430.0,70.0,70.97
52537.0,67.0,75.81
52644.0,67.0,75.81
52751.0,67.0,75.81
52858.0,65.0,79.03
52965.0,67.0,75.81
53072.0,65.0,79.03
53179.0,64.0,80.65
53286.0,65.0,79.03
53393.0,69.0,72.58
53500.0,66.0,77.42
53607.0,68.0,74.19
53714.0,67.0,75.81
53821.0,66.0,77.42
53928.0,72.0,67.74
54035.0,67.0,75.81
54142.0,70.0,70.97
