Time,Voltage_Out1,Voltage_Out2,Speed_KPH
0.0,1.0,0.5,0.0
0.038,1.0,0.5,0.0
0.075,1.0,0.5,0.0
0.112,1.0,0.5,0.0
0.15,1.0,0.5,0.0
0.185,1.0,0.5,0.0
0.226,1.0,0.5,0.0
0.262,1.0,0.5,0.0
0.304,1.0,0.5,0.0
0.341,1.0,0.5,0.0
0.377,1.0,0.5,0.0
0.416,1.0,0.5,0.0
0.452,1.0,0.5,0.0
0.491,1.0,0.5,0.0
0.531,1.0,0.5,0.0
0.567,1.0,0.5,0.0
0.608,1.0,0.5,0.0
0.647,1.0,0.5,0.0
0.686,1.0,0.5,0.0
0.727,1.0,0.5,0.0
0.763,1.0,0.5,0.0
0.805,1.0,0.5,0.0
0.839,1.0,0.5,0.0
0.878,1.0,0.5,0.0
0.915,1.0,0.5,0.0
0.954,1.0,0.5,0.0
0.995,1.0,0.5,0.0
1.034,1.0,0.5,0.0
1.069,1.0,0.5,0.0
1.108,1.0,0.5,0.0
1.145,1.0,0.5,0.0
1.184,1.0,0.5,0.0
1.223,1.0,0.5,0.0
1.264,1.0,0.5,0.0
1.302,1.0,0.5,0.0
1.34,1.0,0.5,0.0
1.373,1.0,0.5,0.0
1.415,1.0,0.5,0.0
1.45,1.0,0.5,0.0
1.49,1.0,0.5,0.0
1.531,1.0,0.5,0.0
1.552,1.0,0.5,0.0
1.586,1.0,0.5,0.0
1.609,1.0,0.5,0.0
1.643,1.0,0.5,0.0
1.666,1.0,0.5,0.0
1.704,1.0,0.5,0.0
1.725,1.0,0.5,0.0
1.76,1.0,0.5,0.0
1.798,1.0,0.5,0.0
1.841,1.0,0.5,0.0
1.881,1.0,0.5,0.0
1.922,1.0,0.5,0.0
1.962,1.0,0.5,0.0
2.001,1.0,0.5,0.0
2.037,1.0,0.5,0.0
2.077,1.0,0.5,0.0
2.115,1.0,0.5,0.0
2.157,1.0,0.5,0.0
2.194,1.0,0.5,0.0
2.234,1.0,0.5,0.0
2.261,1.0,0.5,0.0
2.305,1.0,0.5,0.0
2.343,1.0,0.5,0.0
2.383,1.0,0.5,0.0
2.422,1.0,0.5,0.0
2.451,1.0,0.5,0.0
2.485,1.0,0.5,0.0
2.526,1.0,0.5,0.0
2.565,1.0,0.5,0.0
2.602,1.0,0.5,0.0
2.641,1.0,0.5,0.0
2.679,1.0,0.5,0.0
2.723,1.0,0.5,0.0
2.764,1.0,0.5,0.0
2.788,1.0,0.5,0.0
2.828,1.0,0.5,0.0
2.865,1.0,0.5,0.0
2.89,1.0,0.5,0.0
2.929,1.0,0.5,0.0
2.966,1.0,0.5,0.0
3.008,1.0,0.5,0.0
3.049,1.0,0.5,0.0
3.089,1.0,0.5,0.0
3.131,1.0,0.5,0.0
3.17,1.0,0.5,0.0
3.205,1.0,0.5,0.0
3.243,1.0,0.5,0.0
3.286,1.0,0.5,0.0
3.333,1.0,0.5,0.0
3.371,1.0,0.5,0.0
3.411,1.0,0.5,0.0
3.447,1.0,0.5,0.0
3.486,1.0,0.5,0.0
3.526,1.0,0.5,0.0
3.564,1.0,0.5,0.0
3.603,1.0,0.5,0.0
3.645,1.0,0.5,0.0
3.685,1.0,0.5,0.0
3.729,1.0,0.5,0.0
3.767,1.0,0.5,0.0
3.809,1.0,0.5,0.0
3.85,1.0,0.5,0.0
3.895,1.0,0.5,0.0
3.933,1.0,0.5,0.0
3.968,1.0,0.5,0.0
4.011,1.0,0.5,0.0
4.051,1.0,0.5,0.0
4.095,1.0,0.5,0.0
4.133,1.0,0.5,0.0
4.173,1.0,0.5,0.0
4.213,1.0,0.5,0.0
4.25,1.0,0.5,0.0
4.289,1.0,0.5,0.0
4.326,1.0,0.5,0.0
4.36,1.0,0.5,0.0
4.398,1.0,0.5,0.0
4.436,1.0,0.5,0.0
4.473,1.0,0.5,0.0
4.512,1.0,0.5,0.0
4.533,1.0,0.5,0.0
4.567,1.0,0.5,0.0
4.587,1.0,0.5,0.0
4.63,1.0,0.5,0.0
4.668,1.0,0.5,0.0
4.712,1.0,0.5,0.0
4.75,1.0,0.5,0.0
4.774,1.0,0.5,0.0
4.812,1.0,0.5,0.0
4.833,1.0,0.5,0.0
4.868,1.0,0.5,0.0
4.891,1.0,0.5,0.0
4.928,1.0,0.5,0.0
4.974,1.0,0.5,0.0
5.012,1.0,0.5,0.0
5.037,1.0,0.5,0.0
5.077,1.0,0.5,0.0
5.117,1.0,0.5,0.0
5.16,1.0,0.5,0.0
5.186,1.0,0.5,0.0
5.223,1.0,0.5,0.0
5.245,1.0,0.5,0.0
5.283,1.0,0.5,0.0
5.304,1.0,0.5,0.0
5.346,1.0,0.5,0.0
5.39,1.0,0.5,0.0
5.428,1.0,0.5,0.0
5.466,1.0,0.5,0.0
5.509,1.0,0.5,0.0
5.53,1.0,0.5,0.0
5.568,1.0,0.5,0.0
5.611,1.0,0.5,0.0
5.651,1.0,0.5,0.0
5.688,1.0,0.5,0.0
5.727,1.0,0.5,0.0
5.754,1.0,0.5,0.0
5.79,1.0,0.5,0.0
5.815,1.0,0.5,0.0
5.849,1.0,0.5,0.0
5.874,1.0,0.5,0.0
5.907,1.0,0.5,0.0
5.95,1.0,0.5,0.0
5.991,1.0,0.5,0.0
6.028,1.0,0.5,0.0
6.064,1.0,0.5,0.0
6.098,1.0,0.5,0.0
6.136,1.0,0.5,0.0
6.178,1.0,0.5,0.0
6.217,1.0,0.5,0.0
6.257,1.0,0.5,0.0
6.293,1.0,0.5,0.0
6.316,1.0,0.5,0.0
6.357,1.0,0.5,0.0
6.403,1.3,0.65,0.0
6.439,1.3,0.65,0.0
6.46,1.3,0.65,0.0
6.498,1.3,0.65,0.0
6.52,1.3,0.65,0.0
6.557,1.3,0.65,0.0
6.596,1.3,0.65,0.0
6.635,1.3,0.65,0.0
6.673,1.3,0.65,0.0
6.715,1.3,0.65,0.0
6.756,1.3,0.65,0.0
6.781,1.3,0.65,0.0
6.818,1.3,0.65,0.0
6.842,1.3,0.65,0.0
6.875,1.3,0.65,0.0
6.897,1.3,0.65,0.0
6.933,1.3,0.65,0.0
6.959,1.3,0.65,0.0
6.996,1.3,0.65,0.0
7.023,1.3,0.65,0.0
7.055,1.3,0.65,0.0
7.075,1.3,0.65,0.0
7.099,1.3,0.65,0.0
7.133,1.3,0.65,0.0
7.158,1.3,0.65,0.0
7.19,1.3,0.65,0.0
7.224,1.3,0.65,0.0
7.265,1.3,0.65,0.0
7.291,1.3,0.65,0.0
7.33,1.3,0.65,0.0
