Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.049,15.00,16.67,0.00,1.67
0.069,15.00,16.61,0.00,1.61
0.088,15.00,16.67,0.00,1.67
0.108,15.00,16.61,0.00,1.61
0.147,15.00,16.55,0.00,1.55
0.167,15.00,16.42,0.00,1.42
0.186,15.00,16.36,0.00,1.36
0.206,15.00,16.42,0.00,1.42
0.226,15.00,16.42,0.00,1.42
0.265,15.00,16.36,0.00,1.36
0.285,15.00,16.30,0.00,1.30
0.304,15.00,16.24,0.00,1.24
0.324,15.00,16.17,0.00,1.17
0.363,15.00,16.05,0.00,1.05
0.383,15.00,15.98,0.00,0.98
0.402,15.00,16.05,0.00,1.05
0.422,15.00,15.92,0.00,0.92
0.461,15.00,15.86,0.00,0.86
0.481,15.00,15.92,0.00,0.92
0.500,15.00,15.79,0.00,0.79
0.520,15.00,15.74,0.00,0.74
0.559,15.00,15.67,0.00,0.67
0.579,15.00,15.55,0.00,0.55
0.598,15.00,15.48,0.00,0.00
0.618,15.00,15.48,0.00,0.00
0.638,15.00,15.41,0.00,0.00
0.677,15.00,15.29,0.00,0.00
0.696,15.00,15.29,0.00,0.00
0.716,15.00,15.16,0.00,0.00
0.736,15.00,15.16,0.00,0.00
0.775,15.00,15.10,0.00,0.00
0.794,15.00,14.97,0.00,0.00
0.814,15.00,14.90,0.00,0.00
0.834,15.00,14.85,0.00,0.00
0.873,15.00,14.78,0.00,0.00
0.893,15.00,14.65,0.00,0.00
0.912,15.00,14.53,0.00,0.00
0.932,15.00,14.72,0.00,0.00
0.971,15.00,14.59,0.00,0.00
0.991,15.00,14.34,1.40,0.00
1.010,15.00,14.34,1.47,0.00
1.030,15.00,14.46,1.27,0.00
1.049,15.00,14.39,1.47,0.00
1.089,15.00,14.27,1.79,0.00
1.108,15.00,14.21,1.99,0.00
1.128,15.00,14.14,2.21,0.00
1.148,15.00,14.02,2.57,0.00
1.187,15.00,14.02,2.67,0.00
1.206,15.00,14.02,2.77,0.00
1.226,15.00,13.88,3.16,0.00
1.246,15.00,13.88,3.27,0.00
1.285,15.00,13.82,3.50,0.00
1.305,15.00,13.82,3.62,0.00
1.324,15.00,13.70,4.01,0.00
1.344,15.00,13.70,4.14,0.00
1.383,15.00,13.70,4.28,0.00
1.403,15.00,13.70,4.41,0.00
1.422,15.00,13.56,4.83,0.00
1.442,15.00,13.50,5.10,0.00
1.481,15.00,13.43,5.40,0.00
1.501,15.00,13.37,5.70,0.00
1.520,15.00,13.31,5.99,0.00
1.540,15.00,13.31,6.16,0.00
1.579,15.00,13.31,6.33,0.00
1.599,15.00,13.18,6.77,0.00
1.618,15.00,13.18,6.96,0.00
1.638,15.00,13.24,7.02,0.00
1.658,15.00,13.18,7.32,0.00
1.697,15.00,13.11,7.66,0.00
1.716,15.00,13.11,7.85,0.00
1.736,15.00,13.11,8.04,0.00
1.756,15.00,12.99,8.50,0.00
1.795,15.00,12.99,8.71,0.00
1.814,15.00,13.04,8.79,0.00
1.834,15.00,13.04,8.99,0.00
1.854,15.00,12.92,9.46,0.00
1.893,15.00,12.92,9.67,0.00
1.912,15.00,12.92,9.88,0.00
1.932,15.00,12.99,9.95,0.00
1.952,15.00,12.85,10.45,0.00
1.991,15.00,12.79,10.79,0.00
2.010,15.00,12.85,10.89,0.00
2.030,15.00,12.79,11.23,0.00
2.050,15.00,12.79,11.46,0.00
2.089,15.00,12.79,11.68,0.00
2.108,15.00,12.79,11.91,0.00
2.128,15.00,12.66,12.40,0.00
2.148,15.00,12.72,12.52,0.00
2.187,15.00,12.66,12.87,0.00
2.207,15.00,12.59,13.26,0.00
2.226,15.00,12.59,13.50,0.00
2.265,15.00,12.66,13.60,0.00
2.285,15.00,12.52,14.13,0.00
2.305,15.00,12.59,14.24,0.00
2.324,15.00,12.59,14.48,0.00
2.344,15.00,12.47,15.00,0.00
2.383,15.00,12.47,15.26,0.00
2.403,15.00,12.47,15.52,0.00
2.422,15.00,12.40,15.92,0.00
2.442,15.00,12.33,16.33,0.00
2.462,15.00,12.33,16.61,0.00
2.501,15.00,12.33,16.88,0.00
2.520,15.00,12.33,17.15,0.00
2.540,15.00,12.27,17.55,0.00
2.560,15.00,12.20,17.97,0.00
2.599,15.00,12.14,18.38,0.00
2.618,15.00,12.14,18.67,0.00
2.638,15.00,12.14,18.96,0.00
2.658,15.00,12.20,19.13,0.00
2.697,15.00,12.07,19.69,0.00
2.716,15.00,12.14,19.84,0.00
2.736,15.00,12.00,20.43,0.00
2.756,15.00,11.94,20.85,0.00
2.795,15.00,11.80,21.46,0.00
2.814,15.00,11.94,21.49,0.00
2.834,15.00,11.87,21.95,0.00
2.854,15.00,11.75,22.54,0.00
2.893,15.00,11.75,22.87,0.00
2.912,15.00,11.80,23.08,0.00
2.932,15.00,11.75,23.53,0.00
2.952,15.00,11.75,23.86,0.00
2.991,15.00,11.75,24.19,0.00
3.010,15.00,11.68,24.67,0.00
3.030,15.00,11.68,25.01,0.00
3.050,15.00,11.62,25.48,0.00
3.069,15.00,11.62,25.82,0.00
3.109,15.00,11.62,26.17,0.00
3.128,15.00,11.62,26.51,0.00
3.148,15.00,11.55,27.00,0.00
3.187,15.00,11.55,27.36,0.00
3.207,15.00,11.55,27.71,0.00
3.226,15.00,11.55,28.06,0.00
3.246,15.00,11.55,28.41,0.00
3.285,15.00,11.62,28.62,0.00
3.305,15.00,11.48,29.26,0.00
3.324,15.00,11.42,29.74,0.00
3.344,15.00,11.42,30.11,0.00
3.364,15.00,11.42,30.47,0.00
3.403,15.00,11.48,30.71,0.00
3.422,15.00,11.48,31.07,0.00
3.442,15.00,11.35,31.70,0.00
3.462,15.00,11.28,32.22,0.00
3.501,15.00,11.28,32.60,0.00
3.520,15.00,11.35,32.84,0.00
3.540,15.00,11.42,33.06,0.00
3.560,15.00,11.35,33.57,0.00
3.599,15.00,11.28,34.09,0.00
3.618,15.00,11.28,34.47,0.00
3.638,15.00,11.28,34.85,0.00
3.658,15.00,11.22,35.36,0.00
3.697,15.00,11.35,35.47,0.00
3.716,15.00,11.22,36.11,0.00
3.736,15.00,11.22,36.50,0.00
3.756,15.00,11.15,37.03,0.00
3.795,15.00,11.15,37.43,0.00
3.815,15.00,11.15,37.82,0.00
3.834,15.00,11.15,38.21,0.00
3.854,15.00,11.09,38.73,0.00
3.893,15.00,11.09,39.13,0.00
3.913,15.00,11.22,39.25,0.00
3.932,15.00,11.09,39.91,0.00
3.952,15.00,11.02,40.46,0.00
3.991,15.00,11.15,40.59,0.00
4.011,15.00,11.09,41.11,0.00
4.030,15.00,11.02,41.66,0.00
4.050,15.00,10.95,42.21,0.00
4.089,15.00,11.02,42.48,0.00
4.109,15.00,11.15,42.61,0.00
4.128,15.00,11.22,42.85,0.00
4.148,15.00,11.09,43.51,0.00
4.168,15.00,11.09,43.91,0.00
4.207,15.00,11.15,44.19,0.00
4.226,15.00,11.15,44.58,0.00
4.246,15.00,11.15,44.97,0.00
4.266,15.00,11.09,45.49,0.00
4.305,15.00,11.15,45.76,0.00
4.324,15.00,11.15,46.16,0.00
4.344,15.00,11.22,46.40,0.00
4.364,15.00,11.22,46.79,0.00
4.403,15.00,11.22,47.17,0.00
4.422,15.00,11.28,47.43,0.00
4.442,15.00,11.28,47.81,0.00
4.462,15.00,11.28,48.19,0.00
4.501,15.00,11.22,48.70,0.00
4.521,15.00,11.15,49.23,0.00
4.540,15.00,11.22,49.48,0.00
4.560,15.00,11.02,50.28,0.00
4.599,15.00,10.82,51.11,0.00
