Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.034,10.00,22.19,0.00,65.62
0.054,10.00,22.19,0.00,65.86
0.073,10.00,22.19,0.00,66.11
0.093,10.00,22.13,0.00,66.03
0.113,10.00,22.08,0.00,66.01
0.153,10.00,22.02,0.00,65.94
0.172,10.00,22.02,0.00,66.18
0.191,10.00,22.02,0.00,66.42
0.231,10.00,22.02,0.00,66.66
0.251,10.00,21.95,0.00,66.59
0.270,10.00,21.95,0.00,66.83
0.289,10.00,21.95,0.00,67.06
0.328,10.00,21.90,0.00,67.04
0.348,10.00,21.90,0.00,67.28
0.369,10.00,21.84,0.00,67.20
0.387,10.00,21.77,0.00,67.12
0.407,10.00,21.84,0.00,67.67
0.446,10.00,21.77,0.00,67.59
0.466,10.00,21.72,0.00,67.56
0.486,10.00,8.42,0.00,0.00
0.505,10.00,8.42,0.00,0.00
0.525,10.00,8.42,0.00,0.00
0.564,10.00,8.35,0.00,0.00
0.584,10.00,8.35,0.00,0.00
0.603,10.00,8.42,0.00,0.00
0.623,10.00,8.42,0.00,0.00
0.662,10.00,8.42,0.00,0.00
0.682,10.00,8.42,0.00,0.00
0.702,10.00,8.27,0.00,0.00
0.721,10.00,8.14,0.00,0.00
0.760,10.00,8.01,0.00,0.00
0.780,10.00,8.07,0.00,0.00
0.800,10.00,8.01,0.00,0.00
0.820,10.00,7.94,0.00,0.00
0.859,10.00,7.94,0.00,0.00
0.878,10.00,7.94,0.00,0.00
0.898,10.00,7.88,0.00,0.00
0.918,10.00,7.94,0.00,0.00
0.958,10.00,8.07,0.00,0.00
0.977,10.00,8.01,0.00,0.00
1.016,10.00,7.73,0.00,0.00
1.035,10.00,7.60,0.00,0.00
1.055,10.00,7.73,0.00,0.00
1.075,10.00,7.88,0.00,0.00
1.114,10.00,7.88,0.00,0.00
1.134,10.00,7.80,0.00,0.00
1.153,10.00,7.73,0.00,0.00
1.173,10.00,7.73,0.00,0.00
1.212,10.00,7.67,0.00,0.00
1.232,10.00,7.60,0.00,0.00
1.251,10.00,7.53,0.00,0.00
1.271,10.00,7.53,0.00,0.00
1.310,10.00,7.53,0.00,0.00
1.330,10.00,7.60,0.00,0.00
1.350,10.00,7.67,0.00,0.00
1.369,10.00,7.67,0.00,0.00
1.389,10.00,7.53,0.00,0.00
1.428,10.00,7.53,0.00,0.00
1.448,10.00,7.53,0.00,0.00
1.467,10.00,7.53,0.00,0.00
1.507,10.00,7.46,0.00,0.00
1.526,10.00,7.46,0.00,0.00
1.546,10.00,7.39,0.00,0.00
1.585,10.00,7.39,0.00,0.00
1.605,10.00,7.39,0.00,0.00
1.625,10.00,7.33,0.00,0.00
1.644,10.00,7.33,0.00,0.00
1.664,10.00,7.33,0.00,0.00
1.703,10.00,7.33,0.00,0.00
1.723,10.00,7.33,0.00,0.00
1.742,10.00,7.33,0.00,0.00
1.782,10.00,7.33,0.00,0.00
1.801,10.00,7.33,0.00,0.00
1.821,10.00,7.33,0.00,0.00
1.841,10.00,7.33,0.00,0.00
1.880,10.00,7.26,0.00,0.00
1.899,10.00,7.26,0.00,0.00
1.919,10.00,7.33,0.00,0.00
1.958,10.00,7.33,0.00,0.00
1.978,10.00,7.33,0.00,0.00
1.998,10.00,7.26,0.00,0.00
2.017,10.00,7.26,0.00,0.00
2.057,10.00,7.26,0.00,0.00
2.076,10.00,7.26,0.00,0.00
2.096,10.00,7.26,0.00,0.00
2.135,10.00,7.19,0.00,0.00
2.155,10.00,7.19,0.00,0.00
2.175,10.00,7.19,0.00,0.00
2.194,10.00,7.19,0.00,0.00
2.234,10.00,7.19,0.00,0.00
2.253,10.00,7.12,0.00,0.00
2.273,10.00,7.12,0.00,0.00
2.312,10.00,7.19,0.00,0.00
2.331,10.00,7.19,0.00,0.00
2.351,10.00,7.12,0.00,0.00
2.371,10.00,7.12,0.00,0.00
2.410,10.00,7.12,0.00,0.00
2.429,10.00,7.12,0.00,0.00
2.449,10.00,7.05,0.00,0.00
2.470,10.00,7.05,0.00,0.00
2.508,10.00,7.05,0.00,0.00
2.528,10.00,7.05,0.00,0.00
2.548,10.00,7.12,0.00,0.00
2.567,10.00,7.12,0.00,0.00
2.606,10.00,7.12,0.00,0.00
2.626,10.00,7.05,0.00,0.00
2.645,10.00,7.05,0.00,0.00
2.665,10.00,6.98,0.00,0.00
2.685,10.00,6.98,0.00,0.00
2.724,10.00,7.05,0.00,0.00
2.744,10.00,6.98,0.00,0.00
2.763,10.00,7.05,0.00,0.00
2.783,10.00,6.98,0.00,0.00
2.823,10.00,6.98,0.00,0.00
2.842,10.00,6.98,0.00,0.00
2.861,10.00,6.98,0.00,0.00
2.902,10.00,6.98,0.00,0.00
2.940,10.00,6.98,0.00,0.00
2.960,10.00,6.98,0.00,0.00
2.979,10.00,6.98,0.00,0.00
3.019,10.00,6.92,0.00,0.00
3.039,10.00,6.92,0.00,0.00
3.058,10.00,6.92,0.00,0.00
3.078,10.00,6.92,0.00,0.00
3.118,10.00,6.98,0.00,0.00
3.137,10.00,6.92,0.00,0.00
3.175,10.00,6.92,0.00,0.00
3.196,10.00,6.92,0.00,0.00
3.215,10.00,6.92,0.00,0.00
3.235,10.00,6.92,0.00,0.00
3.274,10.00,6.98,0.00,0.00
3.294,10.00,6.98,0.00,0.00
3.314,10.00,6.98,0.00,0.00
