Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Test_Number
6.214,0.021,10.00,0.00,100.00,0.00,1
6.222,0.029,10.00,0.00,0.00,0.00,1
6.238,0.045,10.00,0.00,100.00,0.00,1
6.259,0.066,10.00,0.00,100.00,0.00,1
6.278,0.085,10.00,0.00,0.00,0.00,1
6.299,0.105,10.00,0.00,0.00,0.00,1
6.319,0.126,10.00,0.00,0.00,0.00,1
6.339,0.146,10.00,0.00,0.00,0.00,1
6.360,0.166,10.00,0.00,0.00,0.00,1
6.380,0.186,10.00,0.00,0.00,0.00,1
6.400,0.207,10.00,0.00,0.00,0.00,1
6.421,0.228,10.00,0.00,0.00,0.00,1
6.440,0.247,10.00,0.00,0.00,0.00,1
6.461,0.268,10.00,0.00,0.00,0.00,1
6.482,0.288,10.00,0.00,0.00,0.00,1
6.501,0.307,10.00,0.00,0.00,0.00,1
6.522,0.328,10.00,0.00,0.00,0.00,1
6.541,0.348,10.00,2.73,0.00,0.00,1
6.562,0.369,10.00,2.80,0.00,0.00,1
6.582,0.389,10.00,2.88,0.00,0.00,1
6.602,0.409,10.00,2.94,0.00,0.00,1
6.622,0.429,10.00,2.94,0.00,0.00,1
6.643,0.449,10.00,3.02,0.00,100.00,1
6.662,0.469,10.00,3.08,0.00,100.00,1
6.683,0.490,10.00,3.16,0.00,100.00,1
6.703,0.509,10.00,3.16,0.00,100.00,1
6.723,0.530,10.00,3.23,0.00,0.00,1
6.743,0.550,10.00,3.37,0.00,0.00,1
6.764,0.571,10.00,3.44,nan,0.00,1
6.784,0.591,10.00,3.58,100.00,0.00,1
6.804,0.611,10.00,3.65,nan,0.00,1
6.824,0.631,10.00,3.72,0.00,0.00,1
6.845,0.651,10.00,3.80,0.00,100.00,1
6.864,0.671,10.00,3.86,0.00,100.00,1
6.884,0.691,10.00,4.07,0.00,100.00,1
6.905,0.711,10.00,4.21,0.00,0.00,1
6.926,0.732,10.00,4.28,100.00,0.00,1
6.945,0.752,10.00,4.36,100.00,0.00,1
6.965,0.772,10.00,4.49,0.00,0.00,1
6.985,0.792,10.00,4.63,0.00,0.00,1
