Time (ms),Raw ADC Value,Gas Pedal Position (%)
8700.0,151.0,1.0
8800.0,152.0,1.0
8900.0,150.0,1.0
9000.0,148.0,1.0
9100.0,155.0,2.0
9200.0,148.0,1.0
9300.0,154.0,2.0
9400.0,147.0,1.0
9500.0,152.0,1.0
9600.0,153.0,2.0
9700.0,155.0,2.0
9800.0,151.0,1.0
9900.0,153.0,2.0
10000.0,152.0,1.0
10100.0,151.0,1.0
10200.0,154.0,2.0
10300.0,158.0,2.0
10400.0,156.0,2.0
10500.0,157.0,2.0
10600.0,154.0,2.0
10700.0,149.0,1.0
10800.0,149.0,1.0
10900.0,152.0,1.0
11000.0,150.0,1.0
11100.0,152.0,1.0
11200.0,152.0,1.0
11300.0,152.0,1.0
11400.0,157.0,2.0
11500.0,154.0,2.0
11600.0,152.0,1.0
11700.0,149.0,1.0
11800.0,153.0,2.0
11900.0,149.0,1.0
12000.0,152.0,1.0
12100.0,153.0,2.0
12200.0,152.0,1.0
12300.0,153.0,2.0
12400.0,151.0,1.0
12500.0,149.0,1.0
12600.0,150.0,1.0
12700.0,153.0,2.0
12800.0,150.0,1.0
12900.0,149.0,1.0
13000.0,149.0,1.0
13100.0,150.0,1.0
13200.0,152.0,1.0
13300.0,151.0,1.0
13400.0,149.0,1.0
13500.0,152.0,1.0
13600.0,154.0,2.0
13700.0,151.0,1.0
13800.0,147.0,1.0
13900.0,151.0,1.0
14000.0,158.0,2.0
14100.0,152.0,1.0
14200.0,151.0,1.0
14300.0,155.0,2.0
14400.0,150.0,1.0
14500.0,154.0,2.0
14600.0,151.0,1.0
14700.0,154.0,2.0
14800.0,154.0,2.0
14900.0,149.0,1.0
15000.0,152.0,1.0
15100.0,154.0,2.0
15200.0,152.0,1.0
15300.0,154.0,2.0
15400.0,151.0,1.0
15500.0,150.0,1.0
15600.0,150.0,1.0
15700.0,150.0,1.0
15800.0,152.0,1.0
15900.0,152.0,1.0
16000.0,151.0,1.0
16100.0,150.0,1.0
16200.0,152.0,1.0
16300.0,153.0,2.0
16400.0,149.0,1.0
16500.0,150.0,1.0
16600.0,152.0,1.0
16700.0,150.0,1.0
16800.0,148.0,1.0
16900.0,149.0,1.0
17000.0,153.0,2.0
17100.0,153.0,2.0
17200.0,149.0,1.0
17300.0,150.0,1.0
17400.0,150.0,1.0
17500.0,152.0,1.0
17600.0,152.0,1.0
17700.0,152.0,1.0
17800.0,153.0,2.0
17900.0,156.0,2.0
18000.0,152.0,1.0
18100.0,151.0,1.0
18200.0,149.0,1.0
18300.0,157.0,2.0
18400.0,150.0,1.0
18500.0,157.0,2.0
18600.0,146.0,0.0
18700.0,154.0,2.0
18800.0,151.0,1.0
18900.0,151.0,1.0
19000.0,152.0,1.0
19100.0,151.0,1.0
19200.0,152.0,1.0
19300.0,149.0,1.0
19400.0,152.0,1.0
19500.0,153.0,2.0
19600.0,152.0,1.0
19700.0,154.0,2.0
19800.0,151.0,1.0
19900.0,149.0,1.0
20000.0,150.0,1.0
