Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,514.0,512.76,0.7
100.0,508.0,510.89,-0.0
200.0,510.0,507.17,-1.5
300.0,505.0,504.54,-2.5
400.0,507.0,505.21,-2.3
500.0,512.0,508.55,-1.0
600.0,507.0,510.67,-0.1
700.0,508.0,509.55,-0.6
800.0,506.0,508.86,-0.8
900.0,512.0,511.16,0.1
1000.0,506.0,512.92,0.8
1100.0,512.0,510.93,-0.0
1200.0,507.0,507.37,-1.4
1300.0,507.0,506.12,-1.9
1400.0,514.0,508.13,-1.1
1500.0,512.0,510.03,-0.4
1600.0,507.0,508.84,-0.8
1700.0,500.0,507.03,-1.6
1800.0,508.0,507.56,-1.3
1900.0,512.0,509.16,-0.7
2000.0,506.0,510.01,-0.4
2100.0,507.0,509.26,-0.7
2200.0,503.0,507.42,-1.4
2300.0,506.0,508.49,-1.0
2400.0,512.0,512.92,0.8
2500.0,506.0,512.76,0.7
2600.0,512.0,505.8,-2.0
2700.0,508.0,502.22,-3.4
2800.0,505.0,506.83,-1.6
2900.0,505.0,511.09,0.0
3000.0,511.0,508.77,-0.9
3100.0,506.0,504.5,-2.5
3200.0,510.0,504.26,-2.6
3300.0,510.0,507.06,-1.5
3400.0,512.0,509.02,-0.8
3500.0,507.0,509.8,-0.5
3600.0,506.0,509.98,-0.4
3700.0,506.0,508.07,-1.1
3800.0,505.0,505.54,-2.1
3900.0,506.0,506.27,-1.9
4000.0,512.0,508.44,-1.0
4100.0,506.0,508.52,-1.0
4200.0,506.0,508.87,-0.8
4300.0,506.0,510.92,-0.0
4400.0,504.0,510.9,-0.0
4500.0,507.0,508.23,-1.1
4600.0,508.0,506.1,-1.9
4700.0,508.0,505.15,-2.3
4800.0,513.0,505.38,-2.2
4900.0,504.0,507.62,-1.3
5000.0,507.0,509.45,-0.6
5100.0,509.0,508.14,-1.1
5200.0,509.0,505.72,-2.1
5300.0,512.0,505.1,-2.3
5400.0,511.0,505.51,-2.1
5500.0,501.0,506.07,-1.9
5600.0,504.0,507.91,-1.2
5700.0,512.0,510.13,-0.3
5800.0,497.0,509.72,-0.5
5900.0,505.0,507.22,-1.5
6000.0,507.0,506.06,-1.9
6100.0,505.0,507.7,-1.3
6200.0,504.0,511.12,0.0
6300.0,512.0,512.29,0.5
6400.0,509.0,508.04,-1.2
6500.0,506.0,503.99,-2.7
6600.0,505.0,505.46,-2.2
6700.0,504.0,506.21,-1.9
6800.0,511.0,503.08,-3.1
6900.0,505.0,503.08,-3.1
7000.0,510.0,505.9,-2.0
7100.0,510.0,505.67,-2.1
7200.0,505.0,505.88,-2.0
