Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,507.0,506.27,-1.9
100.0,506.0,506.21,-1.9
200.0,512.0,507.5,-1.4
300.0,505.0,506.94,-1.6
400.0,510.0,507.62,-1.3
500.0,506.0,507.26,-1.5
600.0,508.0,507.43,-1.4
700.0,513.0,508.67,-0.9
800.0,504.0,507.63,-1.3
900.0,505.0,507.04,-1.5
1000.0,513.0,508.37,-1.0
1100.0,506.0,507.84,-1.2
1200.0,506.0,507.43,-1.4
1300.0,507.0,507.34,-1.4
1400.0,505.0,506.82,-1.6
1500.0,504.0,506.19,-1.9
1600.0,508.0,506.59,-1.7
1700.0,511.0,507.57,-1.3
1800.0,506.0,507.22,-1.5
1900.0,513.0,508.51,-1.0
2000.0,511.0,509.06,-0.8
2100.0,506.0,508.38,-1.0
2200.0,504.0,507.41,-1.4
2300.0,506.0,507.09,-1.5
2400.0,505.0,506.63,-1.7
2500.0,505.0,506.27,-1.9
2600.0,504.0,505.76,-2.1
2700.0,509.0,506.48,-1.8
2800.0,511.0,507.49,-1.4
2900.0,504.0,506.71,-1.7
3000.0,509.0,507.22,-1.5
3100.0,507.0,507.17,-1.5
3200.0,505.0,506.69,-1.7
3300.0,505.0,506.31,-1.8
3400.0,507.0,506.47,-1.8
3500.0,506.0,506.36,-1.8
3600.0,507.0,506.5,-1.8
3700.0,506.0,506.39,-1.8
3800.0,512.0,507.64,-1.3
3900.0,504.0,506.83,-1.6
4000.0,505.0,506.42,-1.8
4100.0,513.0,507.89,-1.2
4200.0,506.0,507.47,-1.4
4300.0,508.0,507.59,-1.3
4400.0,506.0,507.23,-1.5
4500.0,504.0,506.51,-1.8
4600.0,513.0,507.96,-1.2
4700.0,508.0,507.97,-1.2
4800.0,503.0,506.86,-1.6
4900.0,506.0,506.67,-1.7
5000.0,511.0,507.63,-1.3
5100.0,512.0,508.61,-0.9
5200.0,509.0,508.69,-0.9
5300.0,506.0,508.09,-1.1
5400.0,505.0,507.41,-1.4
5500.0,508.0,507.54,-1.4
5600.0,509.0,507.86,-1.2
5700.0,505.0,507.23,-1.5
5800.0,508.0,507.4,-1.4
5900.0,506.0,507.09,-1.5
6000.0,506.0,506.84,-1.6
6100.0,507.0,506.88,-1.6
6200.0,501.0,505.57,-2.1
6300.0,505.0,505.44,-2.2
6400.0,508.0,506.01,-2.0
6500.0,504.0,505.56,-2.1
6600.0,506.0,505.66,-2.1
6700.0,512.0,507.07,-1.5
6800.0,506.0,506.83,-1.6
6900.0,512.0,507.98,-1.2
7000.0,508.0,507.99,-1.2
7100.0,506.0,507.54,-1.4
7200.0,506.0,507.2,-1.5
7300.0,508.0,507.38,-1.4
7400.0,513.0,508.63,-0.9
7500.0,505.0,507.82,-1.2
7600.0,509.0,508.08,-1.1
7700.0,504.0,507.18,-1.5
7800.0,507.0,507.14,-1.5
7900.0,509.0,507.55,-1.3
8000.0,506.0,507.21,-1.5
8100.0,509.0,507.61,-1.3
8200.0,507.0,507.47,-1.4
8300.0,505.0,506.92,-1.6
8400.0,507.0,506.94,-1.6
8500.0,504.0,506.28,-1.8
8600.0,508.0,506.67,-1.7
8700.0,511.0,507.63,-1.3
8800.0,506.0,507.27,-1.5
8900.0,499.0,505.43,-2.2
9000.0,506.0,505.56,-2.1
9100.0,507.0,505.88,-2.0
9200.0,505.0,505.68,-2.1
9300.0,505.0,505.53,-2.1
9400.0,510.0,506.52,-1.8
9500.0,507.0,506.63,-1.7
9600.0,515.0,508.49,-1.0
9700.0,509.0,508.61,-0.9
9800.0,505.0,507.8,-1.3
9900.0,508.0,507.85,-1.2
10000.0,513.0,508.99,-0.8
10100.0,506.0,508.33,-1.0
10200.0,506.0,507.81,-1.2
10300.0,507.0,507.63,-1.3
10400.0,507.0,507.49,-1.4
10500.0,513.0,508.72,-0.9
10600.0,511.0,509.22,-0.7
10700.0,504.0,508.06,-1.2
10800.0,505.0,507.38,-1.4
10900.0,510.0,507.96,-1.2
11000.0,512.0,508.86,-0.8
11100.0,509.0,508.89,-0.8
11200.0,504.0,507.8,-1.3
11300.0,505.0,507.18,-1.5
11400.0,506.0,506.92,-1.6
11500.0,514.0,508.49,-1.0
11600.0,507.0,508.16,-1.1
11700.0,513.0,509.24,-0.7
11800.0,507.0,508.74,-0.9
11900.0,506.0,508.13,-1.1
12000.0,506.0,507.66,-1.3
12100.0,507.0,507.51,-1.4
12200.0,507.0,507.4,-1.4
12300.0,506.0,507.09,-1.5
12400.0,506.0,506.84,-1.6
12500.0,508.0,507.1,-1.5
12600.0,505.0,506.63,-1.7
12700.0,506.0,506.49,-1.8
12800.0,506.0,506.38,-1.8
12900.0,505.0,506.08,-1.9
13000.0,508.0,506.5,-1.8
13100.0,505.0,506.17,-1.9
13200.0,507.0,506.35,-1.8
13300.0,504.0,505.83,-2.0
13400.0,506.0,505.87,-2.0
13500.0,510.0,506.79,-1.6
13600.0,506.0,506.61,-1.7
13700.0,509.0,507.14,-1.5
13800.0,506.0,506.89,-1.6
13900.0,509.0,507.36,-1.4
14000.0,508.0,507.5,-1.4
14100.0,507.0,507.39,-1.4
14200.0,506.0,507.08,-1.5
14300.0,508.0,507.29,-1.5
14400.0,509.0,507.67,-1.3
14500.0,505.0,507.07,-1.5
14600.0,507.0,507.06,-1.5
14700.0,506.0,506.82,-1.6
14800.0,512.0,507.97,-1.2
14900.0,507.0,507.76,-1.3
15000.0,513.0,508.92,-0.8
15100.0,512.0,509.61,-0.5
15200.0,504.0,508.36,-1.0
15300.0,508.0,508.28,-1.1
15400.0,507.0,508.0,-1.2
15500.0,505.0,507.33,-1.4
15600.0,506.0,507.03,-1.6
15700.0,507.0,507.03,-1.6
15800.0,498.0,505.02,-2.3
15900.0,508.0,505.68,-2.1
16000.0,510.0,506.64,-1.7
16100.0,513.0,508.06,-1.2
16200.0,506.0,507.6,-1.3
16300.0,506.0,507.24,-1.5
16400.0,506.0,506.97,-1.6
16500.0,511.0,507.86,-1.2
16600.0,504.0,507.0,-1.6
16700.0,511.0,507.89,-1.2
16800.0,507.0,507.69,-1.3
16900.0,506.0,507.32,-1.4
17000.0,505.0,506.8,-1.6
17100.0,505.0,506.4,-1.8
17200.0,507.0,506.53,-1.7
17300.0,512.0,507.75,-1.3
17400.0,506.0,507.36,-1.4
17500.0,505.0,506.84,-1.6
17600.0,506.0,506.65,-1.7
17700.0,510.0,507.4,-1.4
17800.0,502.0,506.19,-1.9
