Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,510.0,506.15,-1.9
100.0,504.0,506.28,-1.8
200.0,515.0,506.39,-1.8
300.0,505.0,506.6,-1.7
400.0,507.0,506.73,-1.7
500.0,505.0,506.66,-1.7
600.0,506.0,506.46,-1.8
700.0,504.0,506.14,-1.9
800.0,508.0,505.78,-2.0
900.0,506.0,505.49,-2.2
1000.0,507.0,505.28,-2.2
1100.0,508.0,505.15,-2.3
1200.0,509.0,505.16,-2.3
1300.0,506.0,505.26,-2.2
1400.0,512.0,505.43,-2.2
1500.0,508.0,505.72,-2.1
1600.0,506.0,506.0,-2.0
1700.0,503.0,506.07,-1.9
1800.0,512.0,506.01,-2.0
1900.0,513.0,506.14,-1.9
2000.0,507.0,506.47,-1.8
2100.0,506.0,506.71,-1.7
2200.0,510.0,506.81,-1.6
2300.0,507.0,506.87,-1.6
2400.0,505.0,506.84,-1.6
2500.0,505.0,506.62,-1.7
2600.0,507.0,506.3,-1.8
2700.0,511.0,506.07,-1.9
2800.0,505.0,505.97,-2.0
2900.0,510.0,505.93,-2.0
3000.0,511.0,506.01,-2.0
3100.0,506.0,506.2,-1.9
3200.0,506.0,506.3,-1.8
3300.0,506.0,506.24,-1.9
3400.0,506.0,506.08,-1.9
3500.0,505.0,505.86,-2.0
3600.0,504.0,505.55,-2.1
3700.0,505.0,505.17,-2.3
3800.0,505.0,504.78,-2.4
3900.0,504.0,504.43,-2.6
4000.0,507.0,504.12,-2.7
4100.0,506.0,503.95,-2.8
4200.0,504.0,503.86,-2.8
4300.0,507.0,503.79,-2.8
4400.0,508.0,503.83,-2.8
4500.0,510.0,504.05,-2.7
4600.0,509.0,504.45,-2.6
4700.0,510.0,504.96,-2.4
4800.0,505.0,505.45,-2.2
4900.0,511.0,505.82,-2.0
5000.0,505.0,506.12,-1.9
5100.0,505.0,506.24,-1.9
5200.0,509.0,506.21,-1.9
5300.0,506.0,506.15,-1.9
5400.0,506.0,506.06,-1.9
5500.0,508.0,505.92,-2.0
5600.0,508.0,505.84,-2.0
5700.0,506.0,505.79,-2.0
5800.0,508.0,505.74,-2.1
5900.0,510.0,505.76,-2.0
6000.0,507.0,505.88,-2.0
6100.0,512.0,506.07,-1.9
6200.0,506.0,506.31,-1.8
6300.0,504.0,506.41,-1.8
6400.0,514.0,506.42,-1.8
6500.0,510.0,506.61,-1.7
6600.0,503.0,506.81,-1.6
6700.0,504.0,506.72,-1.7
6800.0,506.0,506.39,-1.8
6900.0,506.0,506.0,-2.0
7000.0,508.0,505.68,-2.1
7100.0,509.0,505.51,-2.1
7200.0,506.0,505.46,-2.2
7300.0,504.0,505.38,-2.2
7400.0,505.0,505.18,-2.3
7500.0,506.0,504.94,-2.4
7600.0,510.0,504.8,-2.4
7700.0,504.0,504.79,-2.4
7800.0,512.0,504.86,-2.4
7900.0,509.0,505.11,-2.3
8000.0,506.0,505.44,-2.2
8100.0,512.0,505.75,-2.1
8200.0,509.0,506.13,-1.9
8300.0,508.0,506.51,-1.8
8400.0,505.0,506.73,-1.7
8500.0,504.0,506.69,-1.7
8600.0,513.0,506.55,-1.7
8700.0,513.0,506.64,-1.7
8800.0,504.0,506.88,-1.6
8900.0,505.0,506.91,-1.6
9000.0,504.0,506.67,-1.7
9100.0,514.0,506.41,-1.8
9200.0,506.0,506.35,-1.8
9300.0,513.0,506.43,-1.8
9400.0,504.0,506.57,-1.7
9500.0,511.0,506.65,-1.7
9600.0,504.0,506.66,-1.7
9700.0,512.0,506.64,-1.7
9800.0,503.0,506.61,-1.7
9900.0,508.0,506.47,-1.8
10000.0,506.0,506.27,-1.9
10100.0,513.0,506.16,-1.9
10200.0,508.0,506.25,-1.9
10300.0,509.0,506.43,-1.8
10400.0,506.0,506.56,-1.7
10500.0,506.0,506.55,-1.7
10600.0,506.0,506.41,-1.8
10700.0,501.0,506.1,-1.9
10800.0,505.0,505.6,-2.1
10900.0,513.0,505.19,-2.3
11000.0,508.0,505.13,-2.3
11100.0,506.0,505.23,-2.3
11200.0,506.0,505.29,-2.2
11300.0,504.0,505.24,-2.3
11400.0,506.0,505.09,-2.3
11500.0,506.0,504.91,-2.4
11600.0,511.0,504.85,-2.4
11700.0,515.0,505.12,-2.3
11800.0,505.0,505.62,-2.1
11900.0,507.0,506.02,-1.9
12000.0,510.0,506.27,-1.9
12100.0,506.0,506.47,-1.8
12200.0,506.0,506.54,-1.7
12300.0,507.0,506.46,-1.8
12400.0,510.0,506.38,-1.8
12500.0,506.0,506.35,-1.8
12600.0,502.0,506.21,-1.9
12700.0,504.0,505.83,-2.0
12800.0,507.0,505.36,-2.2
12900.0,507.0,505.01,-2.3
13000.0,507.0,504.82,-2.4
13100.0,515.0,504.87,-2.4
