Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,508.0,506.81,-1.6
100.0,506.0,506.96,-1.6
200.0,507.0,506.94,-1.6
300.0,513.0,506.92,-1.6
400.0,509.0,507.04,-1.5
500.0,504.0,507.14,-1.5
600.0,504.0,506.98,-1.6
700.0,510.0,506.67,-1.7
800.0,506.0,506.41,-1.8
900.0,506.0,506.18,-1.9
1000.0,506.0,505.92,-2.0
1100.0,508.0,505.68,-2.1
1200.0,506.0,505.51,-2.1
1300.0,513.0,505.48,-2.2
1400.0,509.0,505.68,-2.1
1500.0,505.0,505.94,-2.0
1600.0,506.0,506.04,-1.9
1700.0,509.0,506.03,-1.9
1800.0,515.0,506.18,-1.9
1900.0,510.0,506.59,-1.7
2000.0,506.0,507.01,-1.6
2100.0,504.0,507.15,-1.5
2200.0,497.0,506.85,-1.6
2300.0,512.0,506.25,-1.9
2400.0,505.0,505.76,-2.0
2500.0,510.0,505.49,-2.2
2600.0,512.0,505.47,-2.2
2700.0,504.0,505.62,-2.1
2800.0,504.0,505.65,-2.1
2900.0,511.0,505.57,-2.1
3000.0,505.0,505.57,-2.1
3100.0,502.0,505.48,-2.2
3200.0,506.0,505.2,-2.3
3300.0,512.0,505.0,-2.3
3400.0,506.0,505.04,-2.3
3500.0,509.0,505.18,-2.3
3600.0,509.0,505.39,-2.2
3700.0,507.0,505.63,-2.1
3800.0,506.0,505.8,-2.0
3900.0,504.0,505.81,-2.0
4000.0,503.0,505.61,-2.1
4100.0,507.0,505.29,-2.2
4200.0,507.0,505.02,-2.3
4300.0,508.0,504.89,-2.4
4400.0,506.0,504.86,-2.4
4500.0,498.0,504.72,-2.5
4600.0,506.0,504.34,-2.6
4700.0,507.0,503.97,-2.7
4800.0,506.0,503.8,-2.8
4900.0,504.0,503.72,-2.8
5000.0,512.0,503.76,-2.8
5100.0,512.0,504.1,-2.7
5200.0,505.0,504.65,-2.5
5300.0,498.0,504.94,-2.4
5400.0,507.0,504.83,-2.4
5500.0,508.0,504.67,-2.5
5600.0,499.0,504.52,-2.5
5700.0,510.0,504.28,-2.6
5800.0,509.0,504.21,-2.7
5900.0,507.0,504.36,-2.6
6000.0,515.0,504.72,-2.5
6100.0,515.0,505.42,-2.2
6200.0,521.0,506.54,-1.7
6300.0,518.0,508.01,-1.2
6400.0,523.0,509.71,-0.5
6500.0,521.0,511.52,0.2
6600.0,520.0,513.29,0.9
6700.0,521.0,514.86,1.5
6800.0,518.0,516.15,2.0
6900.0,525.0,517.21,2.4
7000.0,525.0,518.22,2.8
7100.0,523.0,519.21,3.2
7200.0,523.0,520.07,3.5
7300.0,525.0,520.77,3.8
7400.0,525.0,521.38,4.1
7500.0,534.0,522.09,4.3
7600.0,534.0,523.11,4.7
7700.0,540.0,524.53,5.3
7800.0,539.0,526.31,6.0
7900.0,517.0,527.89,6.6
8000.0,551.0,529.05,7.1
8100.0,547.0,530.57,7.7
8200.0,553.0,532.76,8.5
8300.0,550.0,535.34,9.5
8400.0,556.0,538.1,10.6
8500.0,554.0,540.92,11.7
8600.0,555.0,543.63,12.8
8700.0,558.0,546.14,13.8
8800.0,556.0,548.42,14.6
8900.0,560.0,550.45,15.4
9000.0,579.0,552.6,16.3
9100.0,582.0,555.44,17.4
9200.0,585.0,559.04,18.8
9300.0,586.0,563.05,20.4
9400.0,589.0,567.21,22.0
9500.0,589.0,571.3,23.6
9600.0,588.0,575.1,25.1
9700.0,588.0,578.42,26.4
9800.0,587.0,581.15,27.5
9900.0,596.0,583.42,28.3
10000.0,596.0,585.52,29.2
10100.0,596.0,587.52,29.9
10200.0,592.0,589.24,30.6
10300.0,597.0,590.61,31.2
10400.0,597.0,591.76,31.6
10500.0,597.0,592.76,32.0
10600.0,605.0,593.73,32.4
10700.0,598.0,594.78,32.8
10800.0,598.0,595.69,33.1
10900.0,597.0,596.32,33.4
11000.0,605.0,596.82,33.6
11100.0,598.0,597.34,33.8
11200.0,598.0,597.73,33.9
11300.0,569.0,597.39,33.8
11400.0,603.0,596.19,33.3
11500.0,593.0,594.98,32.9
11600.0,596.0,594.15,32.5
11700.0,601.0,593.63,32.3
11800.0,598.0,593.53,32.3
11900.0,589.0,593.55,32.3
12000.0,600.0,593.47,32.3
12100.0,598.0,593.53,32.3
12200.0,599.0,593.8,32.4
12300.0,601.0,594.23,32.6
12400.0,601.0,594.83,32.8
12500.0,597.0,595.46,33.1
12600.0,600.0,595.98,33.3
12700.0,597.0,596.39,33.4
12800.0,602.0,596.71,33.5
12900.0,603.0,597.1,33.7
13000.0,602.0,597.61,33.9
13100.0,598.0,598.08,34.1
