Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,673.0,675.81,64.5
100.0,674.0,675.65,64.4
200.0,673.0,675.39,64.3
300.0,665.0,674.94,64.2
400.0,675.0,674.28,63.9
500.0,680.0,673.8,63.7
600.0,675.0,673.72,63.7
700.0,688.0,674.06,63.8
800.0,674.0,674.77,64.1
900.0,673.0,675.41,64.3
1000.0,674.0,675.71,64.5
1100.0,673.0,675.76,64.5
1200.0,673.0,675.63,64.4
1300.0,673.0,675.36,64.3
1400.0,673.0,675.03,64.2
1500.0,680.0,674.78,64.1
1600.0,677.0,674.8,64.1
1700.0,675.0,674.98,64.2
1800.0,680.0,675.22,64.3
1900.0,678.0,675.58,64.4
2000.0,681.0,676.07,64.6
2100.0,674.0,676.56,64.8
2200.0,675.0,676.85,64.9
2300.0,681.0,677.0,65.0
2400.0,678.0,677.22,65.1
2500.0,682.0,677.54,65.2
2600.0,682.0,677.98,65.4
2700.0,675.0,678.43,65.5
2800.0,680.0,678.7,65.6
2900.0,677.0,678.84,65.7
3000.0,677.0,678.85,65.7
3100.0,677.0,678.74,65.7
3200.0,673.0,678.48,65.6
3300.0,669.0,677.94,65.3
3400.0,681.0,677.25,65.1
3500.0,670.0,676.65,64.8
3600.0,683.0,676.21,64.7
3700.0,673.0,675.98,64.6
3800.0,673.0,675.8,64.5
3900.0,674.0,675.5,64.4
4000.0,673.0,675.17,64.3
4100.0,672.0,674.8,64.1
4200.0,675.0,674.44,64.0
4300.0,673.0,674.15,63.9
4400.0,674.0,673.93,63.8
4500.0,685.0,673.95,63.8
4600.0,695.0,674.69,64.1
4700.0,706.0,676.56,64.8
4800.0,718.0,679.8,66.1
4900.0,721.0,684.38,67.9
5000.0,741.0,690.18,70.1
5100.0,699.0,696.43,72.6
5200.0,742.0,702.21,74.8
5300.0,747.0,708.1,77.1
5400.0,746.0,714.55,79.7
5500.0,749.0,721.04,82.2
5600.0,743.0,727.1,84.6
5700.0,746.0,732.37,86.6
5800.0,744.0,736.73,88.3
5900.0,752.0,740.3,89.7
6000.0,745.0,743.22,90.9
6100.0,745.0,745.41,91.7
6200.0,748.0,746.9,92.3
6300.0,742.0,747.81,92.7
6400.0,745.0,748.19,92.8
6500.0,752.0,748.29,92.9
6600.0,745.0,748.38,92.9
6700.0,747.0,748.36,92.9
6800.0,752.0,748.3,92.9
6900.0,752.0,748.43,92.9
7000.0,742.0,748.59,93.0
7100.0,732.0,748.25,92.9
7200.0,720.0,746.9,92.3
7300.0,698.0,744.03,91.2
7400.0,685.0,739.18,89.3
7500.0,659.0,732.08,86.5
7600.0,630.0,722.38,82.7
7700.0,606.0,709.79,77.8
7800.0,594.0,694.61,71.9
7900.0,589.0,677.83,65.3
8000.0,584.0,660.65,58.6
8100.0,584.0,644.11,52.1
8200.0,577.0,628.9,46.1
8300.0,577.0,615.36,40.8
8400.0,577.0,603.73,36.3
8500.0,579.0,594.2,32.6
8600.0,569.0,586.6,29.6
8700.0,577.0,580.64,27.3
8800.0,578.0,576.29,25.6
8900.0,577.0,573.46,24.4
9000.0,578.0,571.84,23.8
9100.0,576.0,571.12,23.5
9200.0,578.0,571.03,23.5
9300.0,584.0,571.5,23.7
9400.0,585.0,572.58,24.1
9500.0,578.0,573.99,24.7
9600.0,576.0,575.29,25.2
9700.0,578.0,576.27,25.5
9800.0,578.0,577.01,25.8
9900.0,572.0,577.47,26.0
10000.0,548.0,577.11,25.9
10100.0,526.0,574.95,25.0
10200.0,489.0,569.98,23.1
10300.0,456.0,561.29,19.7
10400.0,451.0,548.89,14.8
10500.0,437.0,533.88,9.0
10600.0,433.0,517.52,2.6
10700.0,435.0,501.01,-3.9
10800.0,437.0,485.54,-10.0
10900.0,434.0,471.86,-15.3
11000.0,440.0,460.32,-19.8
11100.0,433.0,451.02,-23.5
11200.0,433.0,443.71,-26.3
11300.0,436.0,438.15,-28.5
11400.0,434.0,434.2,-30.1
11500.0,436.0,431.62,-31.1
11600.0,446.0,430.32,-31.6
11700.0,437.0,430.18,-31.6
11800.0,437.0,430.69,-31.4
11900.0,438.0,431.48,-31.1
12000.0,432.0,432.32,-30.8
12100.0,439.0,433.08,-30.5
12200.0,434.0,433.79,-30.2
12300.0,442.0,434.49,-29.9
12400.0,452.0,435.5,-29.6
12500.0,471.0,437.43,-28.8
12600.0,503.0,441.19,-27.3
12700.0,526.0,447.69,-24.8
12800.0,553.0,457.36,-21.0
12900.0,581.0,470.25,-15.9
13000.0,607.0,486.27,-9.7
13100.0,610.0,504.69,-2.5
13200.0,608.0,523.98,5.1
13300.0,610.0,542.59,12.4
13400.0,606.0,559.45,19.0
13500.0,609.0,573.97,24.6
