Time (ms),Raw ADC Value,Filtered ADC Value,Steering Angle (%)
0.0,878.0,872.05,141.3
100.0,879.0,872.58,141.5
200.0,876.0,873.3,141.8
300.0,867.0,873.86,142.0
400.0,868.0,873.95,142.1
500.0,875.0,873.7,142.0
600.0,870.0,873.43,141.9
700.0,868.0,873.06,141.7
800.0,871.0,872.56,141.5
900.0,880.0,872.23,141.4
1000.0,880.0,872.37,141.4
1100.0,880.0,872.98,141.7
1200.0,877.0,873.8,142.0
1300.0,878.0,874.64,142.3
1400.0,869.0,875.25,142.6
1500.0,879.0,875.56,142.7
1600.0,874.0,875.75,142.8
1700.0,869.0,875.76,142.8
1800.0,869.0,875.39,142.6
1900.0,872.0,874.77,142.4
2000.0,880.0,874.25,142.2
2100.0,869.0,873.97,142.1
2200.0,870.0,873.65,141.9
2300.0,872.0,873.21,141.8
2400.0,871.0,872.79,141.6
2500.0,878.0,872.51,141.5
2600.0,870.0,872.45,141.5
2700.0,875.0,872.46,141.5
2800.0,870.0,872.47,141.5
2900.0,878.0,872.53,141.5
3000.0,878.0,872.8,141.6
3100.0,869.0,873.18,141.8
3200.0,870.0,873.32,141.8
3300.0,873.0,873.22,141.8
3400.0,873.0,873.1,141.7
3500.0,877.0,873.07,141.7
3600.0,869.0,873.12,141.7
3700.0,873.0,873.07,141.7
3800.0,869.0,872.9,141.6
3900.0,872.0,872.65,141.5
4000.0,875.0,872.43,141.5
4100.0,869.0,872.31,141.4
4200.0,870.0,872.12,141.3
4300.0,869.0,871.82,141.2
4400.0,871.0,871.48,141.1
4500.0,874.0,871.24,141.0
4600.0,872.0,871.18,141.0
4700.0,870.0,871.19,141.0
4800.0,872.0,871.19,141.0
4900.0,868.0,871.14,141.0
5000.0,879.0,871.15,141.0
5100.0,874.0,871.41,141.1
5200.0,870.0,871.78,141.2
5300.0,869.0,871.95,141.3
5400.0,869.0,871.89,141.2
5500.0,878.0,871.81,141.2
5600.0,876.0,871.98,141.3
5700.0,873.0,872.35,141.4
5800.0,868.0,872.6,141.5
5900.0,872.0,872.62,141.5
6000.0,869.0,872.47,141.5
6100.0,870.0,872.2,141.4
