Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output
0.046,40.00,14.34,25.66,0.00
0.066,40.00,14.27,25.73,0.00
0.086,40.00,14.27,25.73,0.00
0.105,40.00,14.27,25.73,0.00
0.144,40.00,14.27,25.73,0.00
0.165,40.00,14.21,25.79,0.00
0.185,40.00,14.27,25.73,0.00
0.203,40.00,14.27,25.73,0.00
0.242,40.00,14.34,25.66,0.00
0.262,40.00,14.34,25.66,0.00
0.281,40.00,14.34,25.66,0.00
0.301,40.00,14.34,25.66,0.00
0.340,40.00,14.27,25.73,0.00
0.360,40.00,14.34,25.66,0.00
0.379,40.00,14.34,25.66,0.00
0.399,40.00,14.27,25.73,0.00
0.419,40.00,14.34,25.66,0.00
0.458,40.00,14.34,25.66,0.00
0.477,40.00,14.34,25.66,0.00
0.497,40.00,14.39,25.61,0.00
0.517,40.00,14.34,25.66,0.00
0.556,40.00,14.34,25.66,0.00
0.575,40.00,14.34,25.66,0.00
0.595,40.00,14.39,25.61,0.00
0.616,40.00,14.39,25.61,0.00
0.654,40.00,14.39,25.61,0.00
0.673,40.00,14.46,25.54,0.00
0.693,40.00,14.39,25.61,0.00
0.714,40.00,14.39,25.61,0.00
0.752,40.00,14.46,25.54,0.00
0.771,40.00,14.46,25.54,0.00
0.791,40.00,14.39,25.61,0.00
0.830,40.00,14.39,25.61,0.00
0.850,40.00,14.46,25.54,0.00
0.869,40.00,14.46,25.54,0.00
0.889,40.00,14.46,25.54,0.00
0.929,40.00,14.46,25.54,0.00
0.948,40.00,14.46,25.54,0.00
0.967,40.00,14.53,25.47,0.00
0.988,40.00,14.53,25.47,0.00
1.026,40.00,14.59,25.41,0.00
1.046,40.00,14.53,25.47,0.00
1.066,40.00,14.46,25.54,0.00
1.104,40.00,14.39,25.61,0.00
1.124,40.00,14.46,25.54,0.00
1.144,40.00,14.53,25.47,0.00
1.163,40.00,14.65,25.35,0.00
1.184,40.00,14.59,25.41,0.00
1.223,40.00,14.59,25.41,0.00
1.243,40.00,14.59,25.41,0.00
1.262,40.00,14.65,25.35,0.00
1.282,40.00,14.65,25.35,0.00
1.321,40.00,14.59,25.41,0.00
