epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1155,1.00918,4.13239,1.25518,0.03193,0.87144,0.15955,0.12457,0.83874,2.95643,1.1434,0.000131783,0.000131783,0.000131783
2,27.6762,0.98467,3.09616,1.2265,0.38536,0.53392,0.45192,0.35438,0.83158,1.84171,1.15019,0.000262492,0.000262492,0.000262492
3,41.0994,0.92649,2.46545,1.15862,0.50073,0.65,0.61391,0.48127,0.81557,1.54969,1.10615,0.00039056,0.00039056,0.00039056
4,54.627,0.91726,2.0679,1.13362,0.6444,0.69185,0.71039,0.56654,0.81118,1.35078,1.07916,0.00038812,0.00038812,0.00038812
5,68.1615,0.87373,1.84477,1.09282,0.65416,0.73333,0.7615,0.61251,0.78122,1.23112,1.06961,0.00038416,0.00038416,0.00038416
6,81.5794,0.85628,1.6209,1.08589,0.81722,0.76586,0.83321,0.68542,0.75313,1.14924,1.05376,0.0003802,0.0003802,0.0003802
7,95.0601,0.84485,1.47888,1.07852,0.79222,0.82504,0.87651,0.7107,0.75878,0.9255,1.06296,0.00037624,0.00037624,0.00037624
8,108.456,0.82573,1.41373,1.07527,0.87734,0.77523,0.86486,0.70083,0.78279,0.97101,1.08085,0.00037228,0.00037228,0.00037228
9,121.834,0.79571,1.27511,1.05074,0.89146,0.82913,0.90354,0.73904,0.7525,0.8368,1.05323,0.00036832,0.00036832,0.00036832
10,135.058,0.79113,1.25298,1.06335,0.84045,0.81974,0.89134,0.7361,0.72648,0.86035,1.0307,0.00036436,0.00036436,0.00036436
11,148.671,0.77031,1.18232,1.04037,0.8222,0.86929,0.91434,0.74235,0.75417,0.8054,1.04806,0.0003604,0.0003604,0.0003604
12,162.346,0.78001,1.13191,1.04617,0.82872,0.88223,0.91255,0.75432,0.7153,0.77821,1.02621,0.00035644,0.00035644,0.00035644
13,176.311,0.79153,1.07159,1.04716,0.89076,0.87002,0.91213,0.74908,0.74139,0.80692,1.03735,0.00035248,0.00035248,0.00035248
14,189.698,0.77352,1.01858,1.03394,0.87211,0.85816,0.91412,0.75051,0.73283,0.73314,1.02883,0.00034852,0.00034852,0.00034852
15,203.092,0.75666,1.0087,1.03219,0.90526,0.85757,0.92018,0.75843,0.71165,0.69879,1.01247,0.00034456,0.00034456,0.00034456
16,216.564,0.75129,0.95769,1.02563,0.90265,0.8671,0.92771,0.76184,0.71882,0.70581,1.00597,0.0003406,0.0003406,0.0003406
17,230.076,0.72645,0.87277,1.01047,0.91529,0.85893,0.9175,0.763,0.70818,0.69748,1.01881,0.00033664,0.00033664,0.00033664
18,243.386,0.71232,0.87469,1.01599,0.92156,0.88825,0.94372,0.78711,0.70222,0.603,0.99839,0.00033268,0.00033268,0.00033268
19,256.81,0.71545,0.83969,1.00673,0.92961,0.90709,0.941,0.78359,0.69289,0.62087,0.99636,0.00032872,0.00032872,0.00032872
20,270.252,0.72439,0.8302,1.01714,0.91766,0.87013,0.92119,0.76406,0.71668,0.68488,1.01607,0.00032476,0.00032476,0.00032476
21,283.964,0.71465,0.81351,1.01192,0.91817,0.88122,0.93273,0.78116,0.69384,0.61512,1.00507,0.0003208,0.0003208,0.0003208
22,297.577,0.71039,0.81264,1.00547,0.90781,0.89788,0.94308,0.78304,0.69819,0.62625,0.999,0.00031684,0.00031684,0.00031684
