Session_Time,Test_Time,Desired_Speed,Actual_Speed,Throttle_Output,Brake_Output,Distance,Test_Number
2.010,2.009,10.00,1.66,NA,NA,2.17,1
4.014,4.014,0.00,1.66,NA,NA,1.83,1
6.019,6.019,0.00,1.66,NA,NA,10.41,1
8.025,8.024,10.00,1.59,NA,NA,3.81,1
10.033,10.033,1.09,1.66,NA,NA,12.80,1
12.039,12.038,10.00,1.66,NA,NA,11.65,1
14.047,14.047,10.00,1.66,NA,NA,10.09,1
16.052,16.052,10.00,1.66,NA,NA,7.86,1
18.058,18.057,10.00,1.66,NA,NA,7.40,1
20.064,20.063,10.00,1.66,NA,NA,6.05,1
22.069,22.069,10.00,1.66,NA,NA,7.77,1
24.075,24.074,10.00,1.66,NA,NA,7.41,1
26.080,26.079,10.00,1.66,NA,NA,2.35,1
28.085,28.084,0.00,1.66,NA,NA,3.44,1
30.091,30.090,0.79,1.66,NA,NA,5.90,1
32.095,32.095,10.00,1.66,NA,NA,7.53,1
34.101,34.100,10.00,1.66,NA,NA,2.49,1
36.106,36.106,0.00,1.74,NA,NA,3.91,1
38.111,38.111,1.17,1.66,NA,NA,2.86,1
40.117,40.117,0.27,1.94,NA,NA,7.45,1
40.139,40.139,10.00,3.80,9.13,0.00,7.45,1
40.159,40.159,10.00,4.42,8.71,0.00,7.45,1
40.178,40.178,10.00,4.57,8.94,0.00,7.47,1
40.198,40.198,10.00,4.28,9.79,0.00,7.47,1
